Q000001	Kadrovski menedžer
Q002884	Srednješolski učitelj za geodetske predmete
Q002885	Srednješolski učitelj za gostinske in turistične predmete
Q002886	Srednješolski učitelj za papirniške predmete
Q002887	Srednješolski učitelj za tekstilne predmete
Q002888	Srednješolski učitelj za veterinarske predmete
Q002889	Srednješolski učitelj za kmetijske predmete
Q002890	Sekretar občinskega sveta
Q002891	Srednješolski učitelj za predmete organizacije dela in proizvodnje
Q002892	Srednješolski učitelj za gradbene predmete
Q002893	Srednješolski učitelj za živilske predmete
Q002894	Srednješolski učitelj za rudarske in geološke predmete
Q002895	Srednješolski učitelj za prometne predmete
Q002896	Srednješolski učitelj za gozdarske predmete
Q002897	Srednješolski učitelj za elektrotehniške predmete
Q002898	Srednješolski učitelj za zdravstvene predmete
Q002899	Srednješolski učitelj za usnjarskopredelovalne predmete
Q002900	Srednješolski učitelj za grafično tiskarske predmete
Q002901	Vodja občinskega upravnega organa
Q002902	Srednješolski učitelj za obutvene predmete
Q002903	Srednješolski učitelj za lesarske predmete
Q002904	Srednješolski učitelj za predmete strojnega kovinarstva
Q002905	Srednješolski učitelj za ekonomske, pravne, administrativne predmete
Q002906	Učitelj logističnih strokovnih modulov v srednji šoli
Q002907	Učitelj medijskih strokovnih modulov v srednji šoli
Q002908	Učitelj oblikovnih strokovnih modulov v srednji šoli
Q002909	Učitelj okoljevarstvenih strokovnih modulov v srednji šoli
Q002910	Učitelj pomorskih strokovnih modulov v srednji šoli
Q002911	Učitelj računalniških strokovnih modulov v srednji šoli
Q002912	Direktor občinske uprave
Q002913	Srednješolski učitelj za storitvene predmete
Q002914	Učitelj kemijskih strokovnih modulov v srednji šoli
Q002915	Učitelj umetniških strokovnoteoretičnih predmetov v srednji šoli
Q002916	Učitelj tehniških strokovnoteoretičnih predmetov v srednji šoli
Q002917	Učitelj glasbenega inštrumenta v umetniški gimnaziji
Q002918	Učitelj baleta v umetniški gimnaziji
Q002919	Učitelj risanja in slikanja v umetniški gimnaziji
Q002920	Učitelj geotehniških strokovnih modulov v srednji šoli
Q002921	Učitelj praktičnega pouka in veščin
Q002922	Tajnik občinske uprave
Q002923	Vzgojitelj v dijaškem domu
Q002924	Srednješolski učitelj za slovenski jezik
Q002925	Srednješolski učitelj za naravoslovne predmete
Q002926	Srednješolski učitelj za družboslovne predmete
Q002927	Srednješolski učitelj za kulturnoumetniške predmete
Q002928	Srednješolski učitelj za telesno vzgojo
Q002929	Sekretar državnega sveta
Q002930	Predmetni učitelj za slovenski jezik
Q002931	Predmetni učitelj za druge jezike
Q002932	Predmetni učitelj za naravoslovne predmete
Q002933	Predmetni učitelj za družboslovne predmete
Q002934	Predmetni učitelj za kulturnoumetniške predmete
Q002935	Predmetni učitelj za telesno vzgojo
Q002936	Predmetni učitelj za tehnično vzgojo
Q002937	Predmetni učitelj za gospodinjstvo
Q002938	Predmetni učitelj
Q002939	Učitelj za individualno in skupinsko pomoč, predmetni pouk
Q002940	Sekretar delovnih teles državnih organov
Q002941	Učitelj izbirnega predmeta v osnovni šoli
Q002942	Učitelj razrednega pouka
Q002943	Drugi učitelj v prvem razredu osnovne šole
Q002944	Učitelj v oddelkih podaljšanega bivanja
Q002945	Učitelj jutranjega varstva v osnovni šoli
Q002946	Učitelj za individualno in skupinsko pomoč, razredni pouk
Q002947	Vzgojitelj predšolskih otrok
Q002948	Vodja službe državnih organov
Q002949	Pomočnik vzgojitelja predšolskih otrok
Q002950	Pedagoški svetovalec
Q002951	Šolski inšpektor
Q002952	Varuh človekovih pravic
Q002953	Vzgojitelj za gibalno ovirane predšolske otroke
Q002954	Vzgojitelj za slepe in slabovidne predšolskih otrok
Q002955	Vzgojitelj otrok in mladostnikov z motnjo čustvovanja in vedenja
Q002956	Vzgojitelj otrok in mladostnikov z motnjami v duševnem razvoju
Q002957	Predstojnik državnega organa, pravosodje
Q002958	Učitelj za tečaje tujih jezikov
Q002959	Zborovodja v glasbeni šoli
Q002960	Dirigent v glasbeni šoli
Q002961	Korepetitor v glasbeni šoli
Q002962	Učitelj plesa
Q002963	Sekretar pravosodnih organov
Q002964	Organizator izobraževalne in raziskovalne dejavnosti v izobraževalnih zavodih
Q002965	Knjižničar v vzgoji in izobraževanju
Q002966	Učitelj predpisov o varnosti cestnega prometa
Q002967	Guverner Banke Slovenije
Q002968	Davčni inšpektor
Q002969	Ocenjevalec vrednosti podjetij
Q002970	Računovodja
Q002971	Revizor
Q002972	Finančni inšpektor
Q002973	Devizni inšpektor
Q002974	Davčni svetovalec
Q002975	Upravnik zaporov
Q002976	Stečajni upravitelj
Q002977	Svetovalec za nepremičnine
Q002978	Finančni analitik
Q002979	Svetovalec za ekonomiko gospodinjstva
Q002980	Predsednik računskega sodišča
Q002981	Kontrolor za kakovost poslovanja
Q002982	Svetovalec za poslovanje
Q002983	Svetovalec za podjetništvo
Q002984	Svetovalec in koordinator za delo v poštnem prometu
Q002985	Razvijalec procesov poslovanja in proizvodnje
Q002986	Organizator dela v poslovnem procesu
Q002987	Inšpektor za varnost osebnih podatkov
Q002988	Kriminalistični inšpektor
Q002989	Sekretar računskega sodišča
Q002990	Inšpektor za obrambo
Q002991	Strokovnjak za sistemske rešitve in razvojne projekte v javni upravi
Q002992	Strokovnjak za spremljanje programov v javni upravi
Q002993	Upravni inšpektor
Q002994	Tržni inšpektor
Q002995	Kriminalistično-tehnični izvedenec
Q002996	Carinski inšpektor
Q002997	Policijski inšpektor
Q002998	Svetovalec za varstvo potrošnikov
Q002999	Vodja projekta
Q003000	Inšpektor za nadzor prirejanja iger na srečo
Q003001	Koordinator za zaščito in reševanje
Q003002	Letalski nadzornik
Q003003	Inšpektor za požarno varnost
Q003004	Svetovalec za javna naročila
Q003005	Inšpektor za varstvo pred naravnimi in drugimi nesrečami
Q003006	Predsednik politične stranke
Q003007	Svetovalec za javne razpise
Q003008	Svetovalec za karierno orientacijo
Q003009	Analitik poklicnega dela
Q003010	Svetovalec za zaposlovanje
Q003011	Svetovalec za kadrovanje
Q003012	Organizator izobraževanja zaposlenega osebja v podjetjih
Q003013	Izvršni direktor politične stranke
Q003014	Svetovalec za prodajne metode
Q003015	Svetovalec za promocijo
Q003016	Svetovalec za trženje
Q003017	Svetovalec za odnose z javnostmi
Q003018	Svetovalec za prodajo tehničnih izdelkov (razen IKT)
Q003019	Sekretar politične stranke
Q003020	Farmacevtski zastopnik
Q003021	Tehnični zastopnik za prodajo
Q003022	Svetovalec za prodajo izdelkov informacijsko-komunikacijske tehnologije
Q003023	Svetovalec za prodajo storitev informacijsko-komunikacijske tehnologije
Q003024	Svetovalec predsednika politične stranke
Q003025	Sistemski analitik
Q003026	IT projektni menedžer
Q003027	Programer, razvijalec programov
Q003028	Razvijalec spletnih strani
Q003029	Razvijalec spletnih aplikacij
Q003030	Predsednik zbornice
Q003031	Vzdrževalec in skrbnik računalniških aplikacij
Q003032	Programer
Q003033	Vzdrževalec programov
Q003034	Podatkovni administrator
Q003035	Sekretar zbornice
Q003036	Skrbnik tokov podatkov
Q003037	Inženir razvoja komunikacij
Q003038	Mrežni administrator
Q003039	Svetovalec zbornice
Q003040	Vrhovni državni tožilec
Q003041	Višji državni tožilec
Q003042	Okrožni državni tožilec
Q003043	Pomočnik državnega tožilca
Q003044	Državni pravobranilec
Q003045	Pomočnik državnega pravobranilca
Q003046	Odvetnik
Q003047	Družbeni pravobranilec
Q003048	Predsednik poslovnega združenja
Q003049	Vrhovni sodnik
Q003050	Višji sodnik
Q003051	Okrožni sodnik
Q003052	Okrajni sodnik
Q003053	Sodnik za prekrške
Q003054	Sodniški pripravnik
Q003055	Pravni svetovalec
Q003056	Pravnik
Q003057	Predsednik zadružne zveze
Q003058	Pravnik za javnoupravne zadeve
Q003059	Notar
Q003060	Mediator v sodnih sporih
Q003061	Arhivar
Q003062	Arhivist
Q003063	Konservator za kulturno dediščino
Q003064	Konservator za naravno dediščino
Q003065	Predsednik sindikata
Q003066	Kustos
Q003067	Muzeolog
Q003068	Antikvar
Q003069	Dokumentalist
Q003070	Knjižničar
Q003071	Sekretar sindikata
Q003072	Ekonometrik
Q003073	Ekonomist za bančništvo in finance
Q003074	Ekonomist za cenovne politike
Q003075	Ekonomist za davčne sisteme
Q003076	Ekonomist za človeške vire
Q003077	Ekonomist za mednarodno menjavo
Q003078	Ekonomist za sektorske politike
Q003079	Ekonomist svetovalec
Q003080	Antropolog
Q003081	Predsednik komisije za človekove pravice
Q003082	Arheolog
Q003083	Etnolog
Q003084	Geograf
Q003085	Komunikolog
Q003086	Kriminolog
Q003087	Sociolog
Q003088	Kulturolog
Q003089	Filozof
Q003090	Obramboslovec
Q003091	Predsednik komisije za zaščito okolja
Q003092	Politolog
Q003093	Zgodovinar
Q003094	Psiholog
Q003095	Klinični psiholog
Q003096	Psihoterapevt
Q003097	Socialni delavec v vzgoji in izobraževanju
Q003098	Socialni delavec za delo s starejšimi občani
Q003099	Socialni delavec v delovnem okolju
Q003100	Predsednik humanitarne organizacije
Q003101	Socialni delavec v zdravstvu
Q003102	Socialni delavec za delo z družino
Q003103	Supervizor
Q003104	Socialni delavec za rejništvo in posvojitve
Q003105	Višji samostanski duhovnik
Q003106	Predsednik posebnih interesnih organizacij
Q003107	Teolog
Q003108	Dramaturg
Q003109	Svetovalec za kulturno-umetniške programe
Q003110	Scenarist
Q003111	Recenzent
Q003112	Pisatelj
Q003113	Sekretar humanitarne organizacije
Q003114	Pesnik
Q003115	Kritik
Q003116	Urednik novinar
Q003117	Novinar
Q003118	Sekretar posebnih interesnih organizacij
Q003119	Grafolog
Q003120	Jezikoslovec
Q003121	Konferenčni tolmač
Q003122	Leksikograf
Q003123	Lektor
Q003124	Prevajalec
Q003125	Sodni tolmač
Q003126	Prevajalec za znakovno prevajanje
Q003127	Tolmač slovenskega znakovnega jezika
Q003128	Ilustrator
Q003129	Karikaturist
Q003130	Kipar
Q003131	Kostumograf
Q003132	Restavrator
Q003133	Scenograf
Q003134	Slikar
Q003135	Tapiserist
Q003136	Multimedijski ustvarjalec
Q003137	Art direktor
Q003138	Aranžer glasbe
Q003139	Dirigent orkestra
Q003140	Glasbeni opremljevalec
Q003141	Glasbeni redaktor
Q003142	Generalni direktor družbe
Q003143	Glasbenik
Q003144	Instrumentalist solist
Q003145	Instrumentalist
Q003146	Korepetitor
Q003147	Muzikolog
Q003148	Skladatelj
Q003149	Član uprave družbe
Q003150	Plesalec
Q003151	Koreograf
Q003152	Filmski, gledališki direktorji in producenti ipd.
Q003153	Režiser
Q003154	Producent
Q003155	Inspicient
Q003156	Član nadzornega sveta družbe
Q003157	Igralec
Q003158	Napovedovalec
Q003159	Povezovalec
Q003160	Komik
Q003161	Prokurist
Q003162	Stand-up komedijant
Q003163	Pantomimik
Q003164	Laboratorijski tehnik fizike
Q003165	Meteorološki opazovalec
Q003166	Tehnik za fiziko
Q003167	Generalni direktor srednjega podjetja
Q003168	Tehnik za geologijo
Q003169	Tehnik za meteorologijo
Q003170	Tehnik metrologije
Q003171	Tehnik za gradbeništvo
Q003172	Geometer
Q003173	Tehnik za geodezijo
Q003174	Vodja elektroenergetskih postrojev
Q003175	Generalni direktor velikega podjetja
Q003176	Tehnik za elektroenergetiko
Q003177	Elektronadzornik
Q003178	Tehnik za elektroenergetske postroje
Q003179	Vodja vzdrževanja električnega omrežja
Q003180	Tehnik za elektrotehniko
Q003181	Delovodja v elektroenergetiki
Q003182	Tehnik za elektroenergetiko, vodja del
Q003183	Tehnik za elektroniko, vodja del
Q003184	Tehnik za signalnovarnostne naprave
Q003185	Tehnik za elektroniko
Q003186	Tehnik za strojništvo
Q003187	Tehnik ladijskega strojništva
Q003188	Tehnik strojništva za motorje in vozila
Q003189	Tehnik za strojniško terologijo
Q003190	Tehnik kmetijskega strojništva
Q003191	Tehnik za strojniško tehnologijo
Q003192	Programer tehnolog CNC-stroja
Q003193	Snovalec izdelkov in simulacij delovanja v virtualnem okolju
Q003194	Laboratorijski tehnik v farmacevtski industriji
Q003195	Tehnik živilske tehnologije
Q003196	Laboratorijski tehnik kemijske tehnologije
Q003197	Laboratorijski tehnik v živilski industriji
Q003198	Tehnik farmacevtske tehnologije
Q003199	Tehnik gumarske tehnologije
Q003200	Tehnik kemijske tehnologije
Q003201	Tehnik keramijske tehnologije
Q003202	Tehnik za sintezo in predelavo polimerov
Q003203	Tehnik steklarske tehnologije
Q003204	Tehnik naftnega rudarstva
Q003205	Finančni menedžer
Q003206	Tehnik za geovrtanje
Q003207	Tehnik za metalurgijo
Q003208	Tehnik za rudarstvo
Q003209	Rentgenolog v metalurgiji
Q003210	Tehnični risar
Q003211	Litografski risar
Q003212	Kartografski risar
Q003213	Vodja računovodske službe
Q003214	Strokovni sodelavec za analiziranje in planiranje proizvodnih procesov
Q003215	Nadzorniki v predelovalnih dejavnostih
Q003216	Delovodja živilstva
Q003217	Delovodja izdelave gradbenih materialov
Q003218	Vodja lakirnice v lesni industriji
Q003219	Delovodja lesarstva
Q003220	Delovodja gradbeništva
Q003221	Gradbeni nadzornik
Q003222	Tehnik za gradbeništvo, vodja del
