C000001_hr_000	Vojna zanimanja
C000389_hr_000	Vatrogasci/vatrogaskinje
C000390_hr_000	Policajci/policajke
C000391_hr_000	Zatvorski policajci/zatvorske policajke
C000392_hr_000	Zaštitari/zaštitarke
C000393_hr_000	Djelatnici/djelatnice za zaštitu osoba i imovine, d. n.
C000394_hr_000	Poljoprivrednici/poljoprivrednice, šumari/šumarke, ribari/ribarke, lovci/lovkinje
C000395_hr_000	Poljoprivredni radnici/poljoprivredne radnice orijentirane na tržište
C000396_hr_000	Ratari/ratarke, voćari/voćarke, vinogradari/vinogradarke i povrtlari/povrtlarke usmjereni na tržište
C000397_hr_000	Ratari/ratarke i povrtlari/povrtlarke
C000398_hr_000	Voćari/voćarke, vinogradari/vinogradarke i srodna zanimanja
C000399_hr_000	Vrtlari/vrtlarke, hortikulturni djelatnici/hortikulturne djelatnice i srodna zanimanja
C000400_hr_000	Ratari/ratarke mješovite biljne proizvodnje
C000401_hr_000	Uzgajivači/uzgajivačice životinja
C000402_hr_000	Stočari/stočarice
C000403_hr_000	Peradari/peradarice
C000404_hr_000	Pčelari/pčelarke i svilari/svilarke
C000405_hr_000	Uzgajivači/uzgajivačice životinja d. n.
C000406_hr_000	Poljoprivrednici/poljoprivrednice mješovite poljoprivredne proizvodnje (biljna i stočarska)
C000407_hr_000	Poljoprivrednici/poljoprivrednice mješovite poljoprivredne proizvodnje (biljna i stočarska)
C000408_hr_000	Šumari/šumarke, ribari/ribarke i lovci/lovkinje
C000409_hr_000	Šumari/šumarke i srodna zanimanja
C000410_hr_000	Šumari/šumarke i srodna zanimanja
C000411_hr_000	Ribari/ribarke, lovci/lovkinje, stupičari/stupičarke i srodna zanimanja
C000412_hr_000	Uzgajivači/uzgajivačice riba i školjki
C000413_hr_000	Obalni ribari/obalne ribarke i srodna zanimanja
C000414_hr_000	Ribari/ribarke na otvorenom moru
C000415_hr_000	Lovci/lovkinje, stupičari/stupičarke i srodna zanimanja
C000416_hr_000	Ratari/ratarke, ribari/ribarke, lovci/lovkinje, sakupljači plodova/sakupljačice plodova za vlastite potrebe
C000417_hr_000	Ratari/ratarke za osobne potrebe
C000418_hr_000	Ratari/ratarke za osobne potrebe
C000419_hr_000	Stočari/stočarice za osobne potrebe
C000420_hr_000	Stočari/stočarice za osobne potrebe
C000421_hr_000	Poljoprivrednici/poljoprivrednice proizvodnje (biljne i stočarske)
C000422_hr_000	Poljoprivrednici/poljoprivrednice proizvodnje (biljne i stočarske)
C000423_hr_000	Ribari/ribarke, lovci/lovkinje, stupičari/stupičarke, skupljači plodova/skupljačice plodova za osobne potrebe
C000424_hr_000	Ribari/ribarke, lovci/lovkinje, stupičari/stupičarke, skupljači plodova/skupljačice plodova za osobne potrebe
C000425_hr_000	Zanimanja u obrtu i pojedinačnoj proizvodnji
C000426_hr_000	Građevinari/građevinarke i srodna zanimanja, osim električara
C000427_hr_000	Zidari/zidarke i srodna građevinska zanimanja
C000428_hr_000	Graditelji/graditeljice kuća
C000429_hr_000	Zidari/zidarke i srodna zanimanja
C000430_hr_000	Kamenoresci/kamenoreskinje, klesari/klesarice i srodna zanimanja
C000431_hr_000	Armirači i betonirci/armiračice i betonirke
C000432_hr_000	Tesari i građevinski stolari/tesarice i građevinske stolarice
C000433_hr_000	Zidari/zidarice i srodna građevinska zanimanja d.n.
C000434_hr_000	Građevinari/građevinarke završnih radova i srodna zanimanja
C000435_hr_000	Krovopokrivači/krovopokrivačice
C000436_hr_000	Podopolagači/podopolagačice i srodna zanimanja
C000437_hr_000	Fasaderi i gipsari/fasaderke i gipsarice
C000438_hr_000	Izolateri/izolaterke
C000439_hr_000	Ostakljivači/ostakljivačice
C000440_hr_000	Instalateri/instalaterke i monteri/monterke cjevovoda
C000441_hr_000	Instalateri/instalaterke i serviseri/serviserke klimatizacijskih uređaja
C000442_hr_000	Soboslikari/soboslikarice, ličioci/ličiteljice, perači /peračice fasada i srodna zanimanja
C000443_hr_000	Soboslikari/soboslikarice, ličioci/ličiteljice i srodna zanimanja
C000444_hr_000	Lakireri/lakirerice i srodna zanimanja
C000445_hr_000	Dimnjačari/dimnjačarke, perači/peračice fasada
C000446_hr_000	Tokari/tokarice, kovinotokari/kovinotokarice, strojarski mehaničari/strojarske mehaničarke i srodna zanimanja
C000447_hr_000	Ljevači metala/ljevačice metala, zavarivači/zavarivačice, limari/limarice i srodna zanimanja
C000448_hr_000	Ljevači/ljevačice metala i srodna zanimanja
C000449_hr_000	Zavarivači/zavarivačice i srodna zanimanja
C000450_hr_000	Limari/limarice i srodna zanimanja
C000451_hr_000	Monteri/monterke metalnih konstrukcija i srodna zanimanja
C000452_hr_000	Monteri/monterke čelične užadi i žica
C000453_hr_000	Kovači/kovačice, alatničari/alatničarke i srodna zanimanja
C000454_hr_000	Kovači/kovačice
C000455_hr_000	Alatničari/alatničarke i srodna zanimanja
C000456_hr_000	Kovinoglodači/kovinoglodačice i srodna zanimanja
C000457_hr_000	Polirači/poliračice, brusači/brusačice, oštrači/oštračice
C000458_hr_000	Mehaničari/mehaničarke, monteri/monterke strojeva i vozila
C000459_hr_000	Mehaničari/mehaničarke i monteri/monterke motornih vozila
C000460_hr_000	Mehaničari/mehaničarke i monteri/monterke zrakoplova
C000461_hr_000	Mehaničari/mehaničarke i monteri/monterke industrijskih i ostalih strojeva i srodna zanimanja
C000462_hr_000	Mehaničari/mehaničarke bicikala
C000463_hr_000	Zanatski radnici/zanatske radnice, tiskari/tiskarice
C000464_hr_000	Zanatski radnici/zanatske radnice
C000465_hr_000	Precizni mehaničari/precizne mehaničarke
C000466_hr_000	Glazbalari/glazbalarke i ugađači/ugađačice glazbala
C000467_hr_000	Zlatari/zlatarice, draguljari/draguljarke i srodna zanimanja
C000468_hr_000	Keramičari/keramičarke, lončari/lončarke i srodna zanimanja
C000469_hr_000	Staklari/staklarke i srodna zanimanja
C000470_hr_000	Izrađivači/izrađivačice tiskarskih formi i klišeja, dekorateri/dekoraterke, graveri/graverke, jetkači/jetkačice stakla, keramike i ostalih materijala
C000471_hr_000	Izrađivači/izrađivačice tradicijskih proizvoda od drva i srodnih materijala, pletači/pletačice košara
C000472_hr_000	Izrađivači/izrađivačice tradicijskih proizvoda od tekstila, kože i srodnih materijala
C000473_hr_000	Zanatski radnici/zanatske radnice, d. n.
C000474_hr_000	Tiskari/tiskarice i srodna zanimanja
C000475_hr_000	Slagari/slagarke
C000476_hr_000	Tiskari/tiskarice
C000477_hr_000	Rukovatelji/rukovateljice tiskarskim, knjigoveškim i sličnim strojevima
C000478_hr_000	Elektromehaničari/elektromehaničarke i monteri/monterke, mehaničari/mehaničarke i serviseri/serviserke elektronike
C000479_hr_000	Mehaničari/mehaničarke i monteri/monterke električnih naprava i opreme
C000480_hr_000	Elektroinstalateri/elektroinstalaterke i srodna zanimanja
C000481_hr_000	Elektromehaničari/elektromehaničarke
C000482_hr_000	Monteri/monterke električnih vodova
C000483_hr_000	Monteri/monterke, serviseri/serviserke elektroničkih i telekomunikacijskih uređaja
C000484_hr_000	Mehaničari/mehaničarke i serviseri/serviserke elektronike
C000485_hr_000	Monteri/monterke, serviseri/serviserke informacijsko-komunikacijskih uređaja
C000486_hr_000	Prerađivači/prerađivačice hrane, drva, proizvođači/proizvođačice odjeće i ostala obrtnička i srodna zanimanja
C000487_hr_000	Prerađivači/prerađivačice hrane i srodna zanimanja
C000488_hr_000	Mesari/mesarice i srodna zanimanja
C000489_hr_000	Pekari/pekarice, slastičari/slastičarke i srodna zanimanja
C000490_hr_000	Prerađivači/prerađivačice mlijeka
C000491_hr_000	Prerađivači/prerađivačice voća, povrća i srodna zanimanja
C000492_hr_000	Kušači i ocjenjivači/kušateljice i ocjenjivačice namirnica
C000493_hr_000	Prerađivači/prerađivačice duhana i srodna zanimanja
C000494_hr_000	Prerađivači/prerađivačice drva, stolari/stolarice i srodna zanimanja
C000495_hr_000	Prerađivači/prerađivačice drva
C000496_hr_000	Stolari/stolarice i srodna zanimanja
C000497_hr_000	Rukovatelji/rukovateljice strojevima za preradu drva i srodna zanimanja
C000498_hr_000	Zanimanja u proizvodnji i preradi tekstila
C000499_hr_000	Krojači/krojačice, krznari/krznarice i klobučari/klobučarke
C000500_hr_000	Krojitelji/kroljiteljice tekstila i srodna zanimanja
C000501_hr_000	Šivači/šivačice, vezilje i srodna zanimanja
C000502_hr_000	Tapetari/tapetarke i srodna zanimanja
C000503_hr_000	Kožari/kožarice
C000504_hr_000	Obućari/obućarke, kožni galanteristi/kožne galanteristice i srodna zanimanja
C000505_hr_000	Ostala zanimanja u obrtu i srodna zanimanja
C000506_hr_000	Ronioci/roniteljice
C000507_hr_000	Mineri/minerice, pirotehničar/pirotehničarke i srodna zanimanja
C000508_hr_000	Ocjenjivači/ocjenjivačice proizvoda (osim namirnica)
C000509_hr_000	Raskužitelji/raskužiteljice i srodna zanimanja
C000510_hr_000	Zanimanja u obrtu i srodna zanimanja, d. n.
C000511_hr_000	Rukovatelji/rukovateljice postrojenjima i strojevima, industrijski proizvođači/industrijske proizvođačice i sastavljači/sastavljačice proizvoda
C000512_hr_000	Rukovatelji/rukovateljice postrojenjima i strojevima
C000513_hr_000	Rukovatelji/rukovateljice rudarskim i sličnim postrojenjima
C000514_hr_000	Rudari/rudarke, kamenolomci/kamenolomke
C000515_hr_000	Rukovatelji/rukovateljice postrojenjima i strojevima za obradu rude i kamena
C000516_hr_000	Bušači/bušačice bušotina i srodna zanimanja
C000517_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju cementnih, mineralnih proizvoda i ostalih proizvoda od kamena
C000518_hr_000	Rukovatelji/rukovateljice postrojenjima za proizvodnju metala i legura
C000519_hr_000	Rukovatelji/rukovateljice postrojenjima za proizvodnju metala
C000520_hr_000	Rukovatelji/rukovateljice postrojenjima za proizvodnju legura
C000521_hr_000	Rukovatelji/rukovateljice kemijskih postrojenja i srodna zanimanja
C000522_hr_000	Rukovatelji/rukovateljice postrojenjima i strojevima za kemijsku preradu i proizvodnju kemijskih proizvoda
C000523_hr_000	Rukovatelji/rukovateljice strojevima za izradu fotografskih proizvoda
C000524_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju gumenih, plastičnih i papirnatih proizvoda
C000525_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju gumenih proizvoda
C000526_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju plastičnih proizvoda
C000527_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju papirnatih proizvoda
C000528_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju tekstilnih, krznenih i kožnih proizvoda
C000529_hr_000	Rukovatelji/rukovateljice strojevima za predenje, sukanje i premotavanje
C000530_hr_000	Rukovatelji/rukovateljice tkalačkim, pletačkim i sličnim strojevima
C000531_hr_000	Rukovatelji/rukovateljice šivaćim strojevima
C000532_hr_000	Rukovatelji/rukovateljice strojevima za bijeljenje, bojenje, čišćenje tekstila, kože i krzna
C000533_hr_000	Rukovatelji/rukovateljice strojevima za preradu krzna i kože
C000534_hr_000	Rukovatelji/rukovateljice obućarskim i sličnim strojevima
C000535_hr_000	Rukovatelji/rukovateljice strojevima za pranje
C000536_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju tekstilnih, krznenih i kožnih proizvoda, d. n.
C000537_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju prehrambenih i sličnih proizvoda
C000538_hr_000	Rukovatelji/rukovateljice strojevima za proizvodnju prehrambenih i sličnih proizvoda
C000539_hr_000	Rukovatelji/rukovateljice strojevima za preradu drva i izradu papira
C000540_hr_000	Rukovatelji/rukovateljice postrojenjima za pripremu papirne mase i proizvodnju papira
C000541_hr_000	Rukovatelji/rukovateljice postrojenjima i strojevima za preradu drva
C000542_hr_000	Ostali rukovatelji/ostale rukovateljice strojevima i uređajima
C000543_hr_000	Rukovatelji/rukovateljice staklarskim i keramičarskim strojevima i uređajima
C000544_hr_000	Strojari/strojarke kotlovnica i srodna zanimanja
C000545_hr_000	Rukovatelji/rukovateljice strojevima za pakiranje, obilježavanje i sličnim strojevima
C000546_hr_000	Rukovatelji/rukovateljice strojevima i uređajima, d. n.
C000547_hr_000	Sastavljači/sastavljačice
C000548_hr_000	Sastavljači/sastavljačice
C000549_hr_000	Sastavljači/sastavljačice strojeva i uređaja
C000550_hr_000	Sastavljači/sastavljačice električne i elektroničke opreme
C000551_hr_000	Sastavljači/sastavljačice strojeva, uređaja i opreme, d. n.
C000552_hr_000	Vozači/vozačice, strojovođe/strojovotkinje prijevoznih sredstava i pokretnih strojeva
C000553_hr_000	Strojovođe/strojovotkinje i srodna zanimanja
C000554_hr_000	Strojovođe/strojovotkinje
C000555_hr_000	Željeznička prometno-prijevozna zanimanja
C000556_hr_000	Vozači/vozačice osobnih vozila, lakih dostavnih vozila i motocikala
C000557_hr_000	Vozači/vozačice motocikala
C000558_hr_000	Vozači/vozačice osobnih vozila, taksija i lakih dostavnih vozila
C000559_hr_000	Vozači/vozačice teških teretnih vozila i autobusa
C000560_hr_000	Vozači/vozačice autobusa i tramvaja
C000561_hr_000	Vozači/vozačice teretnih vozila i kamiona
C000562_hr_000	Rukovatelji/rukovateljice pokretnim radnim strojevima
C000563_hr_000	Rukovatelji/rukovateljice pokretnim poljoprivrednim i šumarskim strojevima
C000564_hr_000	Rukovatelji/rukovateljice građevinskim i sličnim strojevima
C000565_hr_000	Rukovatelji/rukovateljice dizalicama i sličnim uređajima
C000566_hr_000	Rukovatelji/rukovateljice teškim kamionima s dizalicom
C000567_hr_000	Kormilari/kormilarice, brodske strojovođe/brodske strojovotkinje i mornari/mornarke
C000568_hr_000	Kormilari/kormilarice, brodske strojovođe/brodske strojovotkinje i mornari/mornarke
C000569_hr_000	Jednostavna zanimanja
C000570_hr_000	Čistači/čistačice, perači/peračice, kućne pomoćnice i srodna zanimanja
C000571_hr_000	Čistači/čistačice, perači/peračice, kućne pomoćnice i srodna zanimanja
C000572_hr_000	Čistači/čistačice i kućne pomoćnice i srodna zanimanja
C000573_hr_000	Domaćinska zanimanja u uredima, hotelima i ostalim objektima
C000574_hr_000	Ručni perači/ručne peračice automobila, prozora, pralje i srodna zanimanja
C000575_hr_000	Pralje i glačarice
C000576_hr_000	Ručni perači/ručne peračice automobila
C000577_hr_000	Ručni perači/ručne peračice prozora
C000578_hr_000	Ostali čistači/ostale čistačice
C000579_hr_000	Jednostavna poljoprivredna, šumarska i ribarska zanimanja
C000580_hr_000	Jednostavna poljoprivredna, šumarska i ribarska zanimanja
C000581_hr_000	Radnici/radnice na ratarskoj farmi
C000582_hr_000	Radnici/radnice na stočarskoj farmi
C000583_hr_000	Radnici/radnice na poljoprivrednom gospodarstvu mješovite proizvodnje (biljne i stočarske)
C000584_hr_000	Radnici/radnice za jednostavne vrtlarske i hortikulturne radove
C000585_hr_000	Radnici/radnice za jednostavne šumarske radove
C000586_hr_000	Radnici/radnice u ribarstvu i akvakulturi
C000587_hr_000	Jednostavna zanimanja u rudarstvu, građevinarstvu, proizvodnji i prometu
C000588_hr_000	Jednostavna zanimanja u rudarstvu i građevinarstvu
C000589_hr_000	Radnici/radnice u rudnicima i kamenolomima
C000590_hr_000	Radnici/radnice u niskogradnji
C000591_hr_000	Radnici/radnice u visokogradnji
C000592_hr_000	Jednostavna zanimanja u prerađivačkoj industriji
C000593_hr_000	Ručni pakiratelji/ručne pakirateljice
C000594_hr_000	Jednostavna zanimanja u prerađivačkoj industriji, d. n.
C000595_hr_000	Radnici/radnice za jednostavne poslove u prometu i skladištenju
C000596_hr_000	Rukovatelji/rukovateljice ručnih vozila i vozila na pedale
C000597_hr_000	Vozači/vozačice zaprežnih vozila i strojeva
C000598_hr_000	Rukovatelji/rukovateljice teretom
C000599_hr_000	Punjači/punjačice polica
C000600_hr_000	Pomagači/pomagačice u pripremi hrane
C000601_hr_000	Pomagači/pomagačice u pripremi hrane
C000602_hr_000	Priprematelji/pripremateljice brze hrane
C000603_hr_000	Kuhinjski pomoćnik/kuhinjske pomoćnice
C000604_hr_000	Ulični prodavači/ulične prodavačice i srodna uslužna zanimanja
C000605_hr_000	Ulični prodavači/ulične prodavačice i srodna uslužna zanimanja
C000606_hr_000	Ulični prodavači/ulične prodavačice i srodna uslužna zanimanja
C000607_hr_000	Ulični prodavači/ulične prodavačice (osim hrane)
C000608_hr_000	Ulični prodavači/ulične prodavačice (osim hrane)
C000609_hr_000	Čistači/čistačice ulica i srodna zanimanja
C000610_hr_000	Čistači/čistačice ulica i srodna zanimanja
C000611_hr_000	Radnici/radnice na odvoženju otpada
C000612_hr_000	Radnici/radnice na razvrstavanju otpada
C000613_hr_000	Čistači/čistačice ulica i srodna zanimanja
C000614_hr_000	Ostala jednostavna zanimanja
C000615_hr_000	Dostavljači, nosači/dostavljačice, nosačice i srodna zanimanja
C000616_hr_000	Radnici/radnice za jednostavne poslove
C000617_hr_000	Praznitelji/prazniteljice prodajnih automata, parkirališnih satova i sl.
C000618_hr_000	Sakupljači/sakupljačice vode i drva za ogrjev
C000619_hr_000	Djelatnici/djelatnice jednostavnih zanimanja, d. n.
C000620_hr_000	tehnički direktor/tehnička direktorica/n
C000620_hr_001	direktor tehnike
C000620_hr_002	direktorica tehnike
C000620_hr_003	tehnička direktorica
C000620_hr_004	tehnički direktor
C000621_hr_000	rukovatelj/rukovateljica postrojenjima za izvlačenje metala
