C000001_et_000	Sõjaväelased
C000526_et_000	Plasttoodete valmistamiseks kasutatavate masinate operaatorid
C000527_et_000	Pabertoodete valmistamiseks kasutatavate masinate operaatorid
C000528_et_000	Tekstiili-, karusnaha- ja nahatoodete valmistamiseks kasutatavate masinate operaatorid
C000529_et_000	Ettevalmistus-, ketrus- ja poolimismasinate operaatorid
C000530_et_000	Riide- ja silmuskudumismasinate operaatorid
C000531_et_000	Õmblusmasinate operaatorid
C000532_et_000	Pleegitus-, värvimis- ja keemilise puhastuse operaatorid
C000533_et_000	Karusnaha ja naha ettevalmistamise masinate operaatorid
C000534_et_000	Jalatsitootmise jms masinate operaatorid
C000535_et_000	Pesumasinate operaatorid
C000536_et_000	Tekstiili-, karusnaha- ja nahatoodete valmistamiseks kasutatavate masinate operaatorid, mujal liigitamata
C000537_et_000	Toiduainete jms toodete valmistamiseks kasutatavate masinate operaatorid
C000538_et_000	Toiduainete jms toodete valmistamiseks kasutatavate masinate operaatorid
C000539_et_000	Puidutöötlemis- ja paberitootmismasinate operaatorid
C000540_et_000	Tselluloosi- ja paberitootmisseadmete operaatorid
C000541_et_000	Puidutöötlemisseadmete operaatorid
C000542_et_000	Muud seadme- ja masinaoperaatorid
C000543_et_000	Klaasi- ja keraamikaahjude jms seadmete operaatorid
C000544_et_000	Aurumasinate ja -katelde operaatorid
C000545_et_000	Pakke-, villimis- ja märgistusseadmete operaatorid
C000546_et_000	Seadme- ja masinaoperaatorid, mujal liigitamata
C000547_et_000	Monteerijad
C000548_et_000	Monteerijad
C000549_et_000	Mehaaniliste seadmete monteerijad
C000550_et_000	Elektri- ja elektroonikaseadmete monteerijad
C000551_et_000	Mujal liigitamata monteerijad
C000552_et_000	Mootorsõidukite ja liikurmasinate juhid
C000553_et_000	Mootorsõidukite juhid jms alade töötajad
C000554_et_000	Veduri- ja rongijuhid
C000555_et_000	Raudtee liiklustöötajad
C000556_et_000	Sõiduauto-, paketiauto- ja mootorrattajuhid
C000557_et_000	Mootorrattajuhid
C000558_et_000	Sõiduauto-, takso- ja paketiauto juhid
C000559_et_000	Veoauto- ja bussijuhid
C000560_et_000	Bussi- ja trammijuhid
C000561_et_000	Veoautojuhid
C000562_et_000	Liikurmasinate juhid
C000563_et_000	Farmi- ja metsatööseadmete juhid
C000564_et_000	Maaparandus- jms masinate juhid
C000565_et_000	Kraana-, tõstuki- jms tõsteseadmete juhid
C000566_et_000	Tõstukijuhid
C000567_et_000	Laeva tekimeeskond jms töötajad
C000568_et_000	Laeva tekimeeskond jms töötajad
C000569_et_000	Lihttöölised
C000570_et_000	Koristajad ja abilised
C000571_et_000	Abilised ning koristajad kodudes, hotellides ja kontoris jms asutustes
C000572_et_000	Koduabilised ja korterikoristajad
C000573_et_000	Abilised ning koristajad kodudes, hotellides jms asutustes
C000574_et_000	Auto-, akna- ja pesupesijad ning muud käsitsi puhastajad
C000575_et_000	Pesupesijad ja triikijad
C000576_et_000	Autopesijad
C000577_et_000	Aknapesijad
C000578_et_000	Muid puhastustöid tegevad lihttöölised
C000579_et_000	Põllumajanduse, metsanduse ja kalanduse valdkonnas tegutsevad lihttöölised
C000580_et_000	Põllumajanduse, metsanduse ja kalanduse valdkonnas tegutsevad lihttöölised
C000581_et_000	Põllutöölised
C000582_et_000	Karjatöölised
C000583_et_000	Talutöölised (kes tegelevad nii taimede kui ka loomadega)
C000584_et_000	Aiatöölised
C000585_et_000	Metsatöölised
C000586_et_000	Kalanduse lihttöölised ja kalakasvatustöölised
C000587_et_000	Mäe-, ehitus-, tootmis- ja transpordilihttöölised
C000588_et_000	Mäe- ja ehitustöölised
C000589_et_000	Kaevanduse ja karjääri lihttöölised
C000590_et_000	Lihtehitustöölised
C000591_et_000	Hoonete ja rajatiste ehitustöölised
C000592_et_000	Tootmisala lihttöölised
C000593_et_000	Pakkijad
C000594_et_000	Tootmisala lihttöölised, mujal liigitamata
C000595_et_000	Transpordi ja ladustamise abitöölised
C000596_et_000	Käsi- või pedaalsõidukijuhid
C000597_et_000	Loomveokijuhid
C000598_et_000	Lastijad
C000599_et_000	Kaubaladujad
C000600_et_000	Toitlustuse abitöölised
C000601_et_000	Toitlustuse abitöölised
C000602_et_000	Kiirtoitlustuskettide abitöölised
C000603_et_000	Köögiabilised
C000604_et_000	Tänaval jms kohtades teenuse osutajad
C000605_et_000	Tänaval jms kohtades teenuse osutajad
C000606_et_000	Välimüüjad
C000607_et_000	Välimüüjad (v.a toidu- ja joogimüüjad)
C000608_et_000	Välimüüjad (v.a toidu- ja joogimüüjad)
C000609_et_000	Prügivedajad jms lihttöölised
C000610_et_000	Prügivedajad
C000611_et_000	Prügivedajad ja muude jäätmete kogujad
C000612_et_000	Prügisorteerijad
C000613_et_000	Tänavapühkijad jms töölised
C000614_et_000	Muud lihttöölised
C000615_et_000	Käskjalad, pakikandjad ja kättetoimetajad
C000616_et_000	Juhutöölised
C000617_et_000	Arvestikontrolörid ning müügi- ja parkimisautomaatide rahakogujad
C000618_et_000	Veekandjad ja küttepuude kogujad
C000619_et_000	Mujal liigitamata lihttöölised
C000620_et_000	tehnikadirektor
C000621_et_000	tõmbepingi operaator
C000622_et_000	täppisseadmete inspektor
C000623_et_000	lennuliikluse ohutustehnik
C000624_et_000	majutusasutuse tulujuht
C000624_et_001	majutusasutuste tulude haldaja
C000624_et_002	majutusasutuste tulude juhtija
C000624_et_003	majutusettevõtte tulujuht
C000624_et_004	tulujuht
C000625_et_000	meditsiinilabori assistent
C000626_et_000	asfaldisegude katselaborant
C000626_et_001	asfaldilabori tehnik
C000626_et_002	asfaldisegude katsetaja
C000626_et_003	teekattematerjalide katselaborant
C000627_et_000	põhikooli abiõpetaja
C000628_et_000	füsioterapeut
C000629_et_000	lavakunstikooli teatriõpetaja
C000630_et_000	hüdrogeenimismasina operaator
C000630_et_001	hüdrogeenija
C000630_et_002	hüdrogeenimise operaator
C000630_et_003	hüdrogeenimisoperaator
C000631_et_000	pastatoodete valmistamise operaator
C000631_et_001	makaronivalmistamismasina operaator
C000631_et_002	pasatavalmistaja
C000631_et_003	pastavalmistamise masina operaator
C000631_et_004	pastavalmistusmasina operaator
C000632_et_000	tubakatoodete kaupluse juhataja
C000633_et_000	muude masinate, seadmete ja materiaalse vara renditeenuse müüja
C000634_et_000	markšeider
C000635_et_000	toiduohutuse spetsialist
C000636_et_000	põllumajandusmasinate tehnik
C000636_et_001	põllumajandusmasinate mehaanik
C000636_et_002	põllutöömasinate mehaanik
C000636_et_003	põllutöömasinate tehnik
C000637_et_000	bussijuht
C000638_et_000	liha ja lihatoodete impordi ja ekspordi juht
C000639_et_000	eluasemepoliitika spetsialist
C000640_et_000	ülemkokk
C000640_et_001	kokk
C000640_et_002	köögiülem
C000641_et_000	lausriidemasina operaator
C000642_et_000	kõrgharidusasutuse juht
C000643_et_000	soojustajate töödejuhataja
C000644_et_000	lammutusinsener
C000645_et_000	kahjukäsitleja
C000646_et_000	rõivatööstuse tootearendusjuht
C000647_et_000	nitroglütseriiniseparaatori operaator
C000648_et_000	biomeditsiinitehnika insener
C000649_et_000	eestkostja
C000650_et_000	kangur
C000651_et_000	plaatija
C000652_et_000	jalatsite ja nahkgalanterii kaupluse juhataja
C000653_et_000	reisikorraldusettevõtte töödejuhataja
C000653_et_001	reisikorraldusettevõtte juhataja
C000653_et_002	reisikorraldusfirma juht
C000653_et_003	turismifirma juht
C000654_et_000	mesinik
C000654_et_001	mesilaste kasvataja
C000654_et_002	mesilastekasvataja
C000655_et_000	assistent õigusküsimustes
C000655_et_001	juhiabi
C000656_et_000	nafta pumpamise süsteemi operaator
C000657_et_000	kaitseriietuse valmistaja
C000658_et_000	pindamismasina operaator
C000659_et_000	vesiviljelushaudejaama juht
C000660_et_000	mootorimehaanik
C000661_et_000	majutusosakonna juhataja
C000661_et_001	majutusteenistuse juhataja
C000661_et_002	tubade osakonna juhataja
C000662_et_000	keraamikamaalija
C000663_et_000	telekommunikatsiooniinsener
C000663_et_001	kaugsideinsener
C000663_et_002	kaugsideinsenerid
C000663_et_003	kaugsidesüsteemide insener
C000663_et_004	kaugsidesüsteemide insenerid
C000663_et_005	telekommunikatsiooniinsenerid
C000663_et_006	telekommunikatsioonisüsteemide insener
C000663_et_007	telekommunikatsioonisüsteemide insenerid
C000664_et_000	täiskasvanute kirjaoskuse õpetaja
C000665_et_000	jalatsitööstuse kvaliteedijuht
C000666_et_000	sprinklerseadmete paigaldaja
C000667_et_000	elektroonika- ja sideseadmete ning nende osade turustusjuht
C000668_et_000	üldhariduskooli vanema astme eripedagoog
C000669_et_000	esituskunsti tootmisjuht
C000670_et_000	metallitöötlemise juht
C000671_et_000	õhusõidukimootorite koostaja
C000671_et_001	õhusõidukite mootoriehitaja
C000672_et_000	avakaevanduse insener
C000673_et_000	audioloogiaseadmete kaupluse juhataja
C000674_et_000	rauakaupade ja värvide müüja
C000675_et_000	algklassiõpetaja
C000675_et_001	algklasside muusikaõpetaja
C000676_et_000	trammijuht
C000677_et_000	konteinerseadmete koostamise töödejuhataja
C000678_et_000	rõivatööstuse laooperaator
C000679_et_000	assistent-asjaajaja
C000680_et_000	kohviubade jahvatusmasina operaator
C000680_et_001	kohvijahvataja
C000680_et_002	kohvijahvatamise operaator
C000680_et_003	kohvijahvati operaator
C000680_et_004	kohvijahvatusmasina operaator
C000680_et_005	kohvipurustaja
C000680_et_006	kohvipurusti operaator
C000680_et_007	kohvipurustusmasina operaator
C000681_et_000	tervishoiuasutuse sekretär
C000682_et_000	IKT turbeadministraator
C000682_et_001	IKT turbeadministraatorid
C000682_et_002	IKT turbehaldur
C000682_et_003	IKT turbehaldurid
C000682_et_004	IKT-turbe administraator
C000682_et_005	IKT-turbe administraatorid
C000682_et_006	IKT-turbe haldur
C000682_et_007	IKT-turbe haldurid
C000682_et_008	IKT-turvalisuse administraator
C000682_et_009	IKT-turvalisuse administraatorid
C000682_et_010	IKT-turvalisuse haldur
C000682_et_011	IKT-turvalisuse haldurid
C000683_et_000	müüriladujate töödejuhataja
C000684_et_000	kiltkivitöötleja
C000685_et_000	laevaehitustehnik
C000685_et_001	laevatehnik
C000686_et_000	oksjonikorraldaja
C000687_et_000	tarkvaraanalüütik
C000687_et_001	tarkvara analüüsija
C000687_et_002	tarkvara analüüsijad
C000687_et_003	tarkvaraanalüütikud
C000687_et_004	tarkvaraprogrammide analüüsija
C000687_et_005	tarkvaraprogrammide analüüsijad
C000687_et_006	tarkvaraprogrammide analüütik
C000687_et_007	tarkvaraprogrammide analüütikud
C000688_et_000	raamatupidamisjuht
C000689_et_000	valukoja juht
C000690_et_000	telekommunikatsioonitehnik
C000690_et_001	kaugsidetehnik
C000690_et_002	kaugsidetehnikud
C000690_et_003	telekommunikatsioonitehnikud
C000691_et_000	tooteesitleja
C000692_et_000	laevajuhtimise õpetaja
C000693_et_000	valuutakaupleja
C000694_et_000	lennundustehnik
C000695_et_000	universaalketassae operaator
C000696_et_000	sillaehituse töödejuhataja
C000697_et_000	müüriladuja
C000698_et_000	lihalõikaja
C000698_et_001	lihatükeldaja
C000698_et_002	lihunik
C000698_et_003	loomatükeldaja
C000699_et_000	kriminoloog
C000700_et_000	videooperaator
C000701_et_000	kala ja mereandide müüja
C000702_et_000	nafta- ja gaasi tootmisjuht
C000703_et_000	metallurgiatehnik
C000704_et_000	ketrustehnik
C000705_et_000	põrandakattematerjalide paigaldaja
C000706_et_000	tekstiili kvaliteeditehnik
C000707_et_000	tubaka valmimisruumi tööline
C000707_et_001	tubaka valmimisruumi töötaja
C000707_et_002	tubakakäitleja
C000708_et_000	emailvärvija
C000709_et_000	värbamiskonsultant
C000710_et_000	aktuaar-konsultant
C000710_et_001	peaaktuaar
C000711_et_000	valguskujundaja
C000712_et_000	tantsurepetiitor
C000713_et_000	mootorsõiduki akutehnik
C000714_et_000	jalatsidisainer
C000715_et_000	avalikku teenistusse värbamise haldur
C000716_et_000	lõigete suurendaja-vähendaja
C000717_et_000	avaliku halduse valdkonna juht
C000718_et_000	krediidianalüütik
C000719_et_000	torulukkseppade töödejuhataja
C000720_et_000	väärtpaberianalüütik
C000721_et_000	tantsija
C000722_et_000	eritellimusjalatsite tehnik
C000723_et_000	kohtunik
C000724_et_000	nukukunstnik
C000725_et_000	fleksotrükimasina operaator
C000726_et_000	integratsiooni insener
C000726_et_001	IKT integratsiooniinsener
C000726_et_002	IKT integratsiooniinsenerid
C000726_et_003	IKT integreerimisinsener
C000726_et_004	IKT integreerimisinsenerid
C000726_et_005	IKT-integratsiooni insenerid
C000727_et_000	ilmateadustaja
C000728_et_000	tänavakunstnik
C000729_et_000	spaa juhataja
C000730_et_000	profisportlane
C000731_et_000	spetsialiseerunud veterinaararst
C000731_et_001	diagnostilise pildinduse eriala veterinaararst
C000731_et_002	diagnostilise pildinduse eriala veterinaararstid
C000731_et_003	erakorralise meditsiini veterinaararst
C000731_et_004	erakorralise meditsiini veterinaararstid
C000731_et_005	eriloomaarst
C000731_et_006	eriloomaarstid
C000731_et_007	eriveterinaararstid
C000731_et_008	hobuste sisehaiguste veterinaararst
C000731_et_009	hobuste sisehaiguste veterinaararstid
C000731_et_010	kliinilise patoloogia veterinaararst
C000731_et_011	kliinilise patoloogia veterinaararstid
C000731_et_012	laboriloomade veterinaararst
C000731_et_013	laboriloomade veterinaararstid
C000731_et_014	lemmikloomade sisehaiguste veterinaararst
C000731_et_015	lemmikloomade sisehaiguste veterinaararstid
C000731_et_016	loomade käitumise eriala veterinaararst
C000731_et_017	loomade käitumise eriala veterinaararstid
C000731_et_018	metsloomade tervishoiu veterinaararst
C000731_et_019	metsloomade tervishoiu veterinaararstid
C000731_et_020	sigade tervishoiu veterinaararst
C000731_et_021	sigade tervishoiu veterinaararstid
C000731_et_022	spordimeditsiini ja rehabilitatsiooni eriala veterinaararst
C000731_et_023	spordimeditsiini ja rehabilitatsiooni eriala veterinaararstid
C000731_et_024	veeloomade veterinaararst
C000731_et_025	veeloomade veterinaararstid
C000731_et_026	veiste tervishoiu veterinaararst
C000731_et_027	veiste tervishoiu veterinaararstid
C000731_et_028	veterinaar-mikrobioloog
C000731_et_029	veterinaar-mikrobioloogid
C000731_et_030	veterinaar-teriogenoloog
C000731_et_031	veterinaar-teriogenoloogid
C000731_et_032	veterinaaranestesioloog
C000731_et_033	veterinaaranestesioloogid
C000731_et_034	veterinaararst-herpetoloog
C000731_et_035	veterinaararst-herpetoloogid
C000731_et_036	veterinaardermatoloog
C000731_et_037	veterinaardermatoloogid
C000731_et_038	veterinaarfarmakoloog ja -toksikoloog
C000731_et_039	veterinaarfarmakoloogid ja -toksikoloogid
C000731_et_040	veterinaarhambaarst
C000731_et_041	veterinaarhambaarstid
C000731_et_042	veterinaarkardioloog
C000731_et_043	veterinaarkardioloogid
C000731_et_044	veterinaarneuroloog
C000731_et_045	veterinaarneuroloogid
C000731_et_046	veterinaaroftalmoloog
C000731_et_047	veterinaaroftalmoloogid
C000731_et_048	veterinaaronkoloog
C000731_et_049	veterinaaronkoloogid
C000731_et_050	veterinaarparasitoloog
C000731_et_051	veterinaarparasitoloogid
C000731_et_052	veterinaarpatoloog
C000731_et_053	veterinaarpatoloogid
C000731_et_054	veterinaarteadlane kodulindude alal
C000731_et_055	veterinaarteadlased kodulindude alal
C000731_et_056	väikeimetajate veterinaararst
C000731_et_057	väikeimetajate veterinaararstid
C000731_et_058	väikemäletsejate tervishoiu veterinaararst
C000731_et_059	väikemäletsejate tervishoiu veterinaararstid
C000731_et_060	võrdleva toitumise eriala veterinaararst
C000731_et_061	võrdleva toitumise eriala veterinaararstid
C000731_et_062	zooloogilise meditsiini veterinaararst
C000731_et_063	zooloogilise meditsiini veterinaararstid
C000732_et_000	lavaautomaatika operaator
C000733_et_000	objekti üleandmise tehnik
C000734_et_000	äriühingu harukontori juht
C000735_et_000	otsingumootorisõbralikkuse spetsialist
C000735_et_001	otsingumootorisõbralikkuse eksperdid
C000735_et_002	otsingumootorisõbralikkuse ekspert
C000735_et_003	otsingumootorisõbralikkuse optimeerija
C000735_et_004	otsingumootorisõbralikkuse optimeerijad
C000735_et_005	otsingumootorisõbralikkuse spetsialistid
C000736_et_000	veevõrgusüsteemi torustiku hooldaja
C000737_et_000	toorkohvi sisseostja
C000737_et_001	rohelise kohvi sisseostja
C000737_et_002	röstimata kohvi sisseostja
C000738_et_000	majandusteaduse õppejõud
C000739_et_000	mootorsõidukiosade müüja
C000740_et_000	juuksur
C000741_et_000	kunstirestauraator
C000742_et_000	saatejuht
C000743_et_000	golfiinstruktor
C000744_et_000	kodutarbimise energiaauditi teostaja
C000744_et_001	kodutarbimise energiaauditi tegija
C000745_et_000	püsikliendihaldur
C000746_et_000	jalatsite liistul vormija
C000747_et_000	kvalifitseeritud lapsehoidja
C000748_et_000	parfümeeria- ja kosmeetikatoodete hulgikaupleja
C000749_et_000	neetija
C000750_et_000	keelpillimeister
C000751_et_000	tekstiilitrükkal
C000752_et_000	IKT testimise analüütik
C000753_et_000	hüdraulilise stantsiga stantsija
C000754_et_000	pehmepaberi perforeerimis- ja kerimismasina operaator
C000755_et_000	veterinaarmassöör
C000755_et_001	loomade massöör
C000755_et_002	loomade massöörid
C000755_et_003	loomamassaaži spetsialist
C000755_et_004	loomamassaaži spetsialistid
C000755_et_005	loomamassöör
C000755_et_006	loomamassöörid
C000755_et_007	veterinaarmassaaži spetsialist
C000755_et_008	veterinaarmassaaži spetsialistid
C000755_et_009	veterinaarmassöörid
C000756_et_000	õhusõidukimootori spetsialist
C000757_et_000	poksiinstruktor
C000758_et_000	loomade talitaja
C000758_et_001	loomade talitajad
C000758_et_002	loomatalitaja
C000758_et_003	loomatalitajad
C000759_et_000	poeabiline
C000760_et_000	mereväekomandör
C000760_et_001	admiral
C000761_et_000	loomaterapeut
C000761_et_001	veterinaar
C000761_et_002	veterinaararst
C000762_et_000	kriisiolukorra erakorralise meditsiini tehnik
C000762_et_001	erakorralise meditsiini tehnik
C000762_et_002	hädaolukorra erakorralise meditsiini tehnik
C000762_et_003	hädaolukorra kiirabitehnik
C000762_et_004	kiirabitehnik
C000762_et_005	kriisiolukorra kiirabitehnik
C000762_et_006	parameedik
C000763_et_000	uksepaigaldaja
C000764_et_000	hüdrauliliste ja pneumaatiliste seadmete mehaanik
C000765_et_000	koolitusspetsialist
C000766_et_000	aurumasina mehaanik
C000767_et_000	meditsiiniõppejõud
C000768_et_000	telefonivahendusjaama operaator
C000769_et_000	protseduuritoa assistent
C000769_et_001	lahanguassistent
C000769_et_002	operatsiooniassistent
C000769_et_003	radioloogiaassistent
C000769_et_004	sidumistoa assistent
C000770_et_000	kaabliühendaja
C000771_et_000	ratsutamisinstruktor
C000772_et_000	kullerauto juht
C000772_et_001	kuller
C000773_et_000	küberkuritegevuse uurimisekspert
C000773_et_001	arvutikuritegevuse uurimiseksperdid
C000773_et_002	arvutikuritegevuse uurimisekspert
C000773_et_003	digikuritegevuse uurimiseksperdid
C000773_et_004	digikuritegevuse uurimisekspert
C000773_et_005	digitaalkuritegevuse uurimiseksperdid
C000773_et_006	digitaalkuritegevuse uurimisekspert
C000773_et_007	küberkuritegevuse uurimiseksperdid
C000774_et_000	meditsiinitehnika insener
C000775_et_000	sideseadmete kaupluse juhataja
C000776_et_000	põllumajandusmasinate ja -seadmete impordi ja ekspordi juht
C000777_et_000	kuluarvestuse juht
C000778_et_000	tankeriliikluse korraldaja
