C000001_lt_000	Ginkluotųjų pajėgų profesijos
C000479_lt_000	Elektros įrangos įrengėjai ir taisytojai
C000480_lt_000	Pastatų ir kitokie elektrikai
C000481_lt_000	Elektromechanikai ir elektromonteriai
C000482_lt_000	Elektros linijų įrengėjai ir taisytojai
C000483_lt_000	Elektroninės ir telekomunikacijų įrangos įrengėjai ir taisytojai
C000484_lt_000	Elektroninės įrangos mechanikai ir taisytojai
C000485_lt_000	Informacinių technologijų ir ryšių sistemų įrengėjai ir taisytojai
C000486_lt_000	Maisto gamintojai, medienos meistrai, siuvėjai ir kiti kvalifikuoti darbininkai ir amatininkai
C000487_lt_000	Maisto gamintojai ir susijusių profesijų darbininkai
C000488_lt_000	Mėsininkai, žuvų išdarinėtojai ir susijusių profesijų darbininkai
C000489_lt_000	Kepėjai ir konditeriai
C000490_lt_000	Pieno produktų gamintojai
C000491_lt_000	Vaisių, daržovių ir panašių produktų konservuotojai
C000492_lt_000	Maisto produktų ir gėrimų degustatoriai ir rūšiuotojai
C000493_lt_000	Tabako ruošėjai ir tabako produktų gamintojai
C000494_lt_000	Medienos meistrai, baldžiai ir susijusių profesijų darbininkai
C000495_lt_000	Medienos meistrai
C000496_lt_000	Baldžiai ir susijusių profesijų darbininkai
C000497_lt_000	Medžio apdirbimo staklių derintojai ir operatoriai
C000498_lt_000	Siuvėjai ir susijusių profesijų darbininkai
C000499_lt_000	Siuvėjai, kailininkai ir kepurininkai
C000500_lt_000	Drabužių ir kitų gaminių sukirpėjai
C000501_lt_000	Siuvėjai, siuvinėtojai ir susijusių profesijų darbininkai
C000502_lt_000	Baldų apmušėjai ir susijusių profesijų darbininkai
C000503_lt_000	Kailiadirbiai ir odininkai
C000504_lt_000	Batsiuviai ir susijusių profesijų darbininkai
C000505_lt_000	Kiti kvalifikuoti darbininkai ir amatininkai
C000506_lt_000	Narai
C000507_lt_000	Sprogdintojai
C000508_lt_000	Produktų rūšiuotojai ir bandytojai (išskyrus maisto ir gėrimų)
C000509_lt_000	Fumigaciją atliekantys asmenys ir kiti kenkėjų ir piktžolių naikintojai
C000510_lt_000	Kitur nepriskirti kvalifikuoti darbininkai ir amatininkai
C000511_lt_000	Įrenginių ir mašinų operatoriai ir surinkėjai
C000512_lt_000	Stacionariųjų įrenginių ir mašinų operatoriai
C000513_lt_000	Kasybos ir mineralinių rūdų apdorojimo įrenginių operatoriai
C000514_lt_000	Kalnakasiai ir kasybos įrenginių operatoriai
C000515_lt_000	Mineralų ir uolienų apdorojimo įrenginių operatoriai
C000516_lt_000	Gręžinių gręžėjai ir susijusių profesijų darbininkai
C000517_lt_000	Cemento gamybos, akmens ir kitos mineralinės žaliavos apdirbimo mašinų operatoriai
C000518_lt_000	Metalų apdirbimo ir poliravimo įrenginių operatoriai
C000519_lt_000	Metalų perdirbimo ir apdorojimo įrenginių operatoriai
C000520_lt_000	Metalų poliravimo, elektrolitinio ir kitokio metalų paviršiaus dengimo mašinų operatoriai
C000521_lt_000	Chemijos ir fotografijos gaminių gamybos įrenginių ir mašinų operatoriai
C000522_lt_000	Chemijos gaminių gamybos įrenginių ir mašinų operatoriai
C000523_lt_000	Fotografijos gaminių gamybos mašinų operatoriai
C000524_lt_000	Gumos, plastikinių ir popieriaus gaminių gamybos mašinų operatoriai
C000525_lt_000	Gumos gaminių gamybos mašinų operatoriai
C000526_lt_000	Plastikinių gaminių gamybos mašinų operatoriai
C000527_lt_000	Popieriaus gaminių gamybos mašinų operatoriai
C000528_lt_000	Tekstilės, kailių ir odos gaminių gamybos mašinų operatoriai
C000529_lt_000	Pluošto ruošimo, verpimo ir vijimo mašinų operatoriai
C000530_lt_000	Audimo ir mezgimo mašinų operatoriai
C000531_lt_000	Siuvimo ir siuvinėjimo mašinų operatoriai
C000532_lt_000	Balinimo, dažymo ir valymo mašinų operatoriai
C000533_lt_000	Kailių ir odos išdirbimo mašinų operatoriai
C000534_lt_000	Avalynės ir kitokių gaminių mašinų operatoriai
C000535_lt_000	Skalbimo mašinų operatoriai
C000536_lt_000	Kitur nepriskirti tekstilės, kailių ir odos gaminių gamybos mašinų operatoriai
C000537_lt_000	Maisto ir panašių produktų apdorojimo ir perdirbimo mašinų operatoriai
C000538_lt_000	Maisto ir panašių produktų apdorojimo ir perdirbimo mašinų operatoriai
C000539_lt_000	Medienos apdirbimo ir popieriaus gamybos įrenginių operatoriai
C000540_lt_000	Popieriaus masės paruošimo ir popieriaus gamybos įrenginių operatoriai
C000541_lt_000	Medienos apdirbimo įrenginių operatoriai
C000542_lt_000	Kiti stacionariųjų įrenginių ir mašinų operatoriai
C000543_lt_000	Stiklo ir keramikos gamybos įrenginių operatoriai
C000544_lt_000	Garo variklių ir katilų operatoriai
C000545_lt_000	Pakavimo, pilstymo į butelius ir ženklinimo (etiketėmis) operatoriai
C000546_lt_000	Kitur nepriskirti stacionariųjų įrenginių ir mašinų operatoriai
C000547_lt_000	Surinkėjai
C000548_lt_000	Surinkėjai
C000549_lt_000	Mechaninių mašinų surinkėjai
C000550_lt_000	Elektrinės ir elektroninės įrangos surinkėjai
C000551_lt_000	Kitur nepriskirti surinkėjai
C000552_lt_000	Vairuotojai ir judamųjų įrenginių operatoriai
C000553_lt_000	Lokomotyvų mašinistai ir susijusių profesijų darbininkai
C000554_lt_000	Lokomotyvų mašinistai
C000555_lt_000	Geležinkelio ratstabdininkai, signalizuotojai ir iešmininkai
C000556_lt_000	Lengvųjų automobilių, furgonų ir motociklų vairuotojai
C000557_lt_000	Motociklų vairuotojai
C000558_lt_000	Lengvųjų automobilių, taksi ir furgonų vairuotojai
C000559_lt_000	Sunkiasvorių sunkvežimių ir autobusų vairuotojai
C000560_lt_000	Autobusų ir tramvajų vairuotojai
C000561_lt_000	Sunkiasvorių sunkvežimių ir krovinių transporto priemonių vairuotojai
C000562_lt_000	Judamųjų įrenginių operatoriai
C000563_lt_000	Judamųjų žemės ir miškų ūkio įrenginių operatoriai
C000564_lt_000	Žemės darbų ir panašių mašinų operatoriai
C000565_lt_000	Kranų, kėlimo įrenginių ir panašių mašinų operatoriai
C000566_lt_000	Krovininių platformų ir krautuvų operatoriai
C000567_lt_000	Laivų įgulų nariai ir susijusių profesijų darbininkai
C000568_lt_000	Laivų įgulų nariai ir susijusių profesijų darbininkai
C000569_lt_000	Nekvalifikuoti darbininkai
C000570_lt_000	Valytojai ir pagalbininkai
C000571_lt_000	Namų, viešbučių ir biurų valytojai, kambarinės ir pagalbininkai
C000572_lt_000	Namų valytojai ir pagalbininkai
C000573_lt_000	Biurų, viešbučių ir kitų įstaigų valytojai, kambarinės ir pagalbininkai
C000574_lt_000	Transporto priemonių ir langų plovėjai, skalbėjai ir kiti plovėjai (rankomis)
C000575_lt_000	Skalbėjai ir lygintojai (rankomis)
C000576_lt_000	Transporto priemonių plovėjai
C000577_lt_000	Langų plovėjai
C000578_lt_000	Kiti valytojai
C000579_lt_000	Nekvalifikuoti žemės ūkio, miškininkystės ir žuvininkystės darbininkai
C000580_lt_000	Nekvalifikuoti žemės ūkio, miškininkystės ir žuvininkystės darbininkai
C000581_lt_000	Nekvalifikuoti kultūrinių lauko augalų ūkių darbininkai
C000582_lt_000	Nekvalifikuoti galvijų ūkių darbininkai
C000583_lt_000	Nekvalifikuoti kultūrinių lauko augalų ir galvijų ūkių darbininkai
C000584_lt_000	Nekvalifikuoti sodininkystės, daržininkystės ir vaisininkystės ūkių darbininkai
C000585_lt_000	Nekvalifikuoti miškininkystės darbininkai
C000586_lt_000	Nekvalifikuoti žuvininkystės ir akvakultūros darbininkai
C000587_lt_000	Nekvalifikuoti gavybos, statybos, pramonės ir transporto darbininkai
C000588_lt_000	Nekvalifikuoti gavybos ir statybos darbininkai
C000589_lt_000	Nekvalifikuoti gavybos ir karjerų eksploatavimo darbininkai
C000590_lt_000	Nekvalifikuoti civilinės statybos darbininkai
C000591_lt_000	Nekvalifikuoti pastatų statybos darbininkai
C000592_lt_000	Nekvalifikuoti apdirbimo pramonės darbininkai
C000593_lt_000	Pakuotojai (rankomis)
C000594_lt_000	Kitur nepriskirti nekvalifikuoti apdirbimo pramonės darbininkai
C000595_lt_000	Nekvalifikuoti transporto ir sandėliavimo darbininkai
C000596_lt_000	Rikšos vežimėlių ir pedalinių transporto priemonių vairuotojai
C000597_lt_000	Traukiančių transporto priemones ir mašinas gyvulių vadeliotojai
C000598_lt_000	Krovikai
C000599_lt_000	Prekių krovėjai į lentynas
C000600_lt_000	Pagalbiniai maisto gamybos darbininkai
C000601_lt_000	Maisto gaminimo padėjėjai
C000602_lt_000	Greitojo maisto ruošėjai
C000603_lt_000	Virtuvės pagalbininkai
C000604_lt_000	Gatvės ir susiję pardavėjai ir paslaugų sektoriaus darbuotojai
C000605_lt_000	Gatvės ir susiję paslaugų sektoriaus darbuotojai
C000606_lt_000	Gatvės ir susiję paslaugų sektoriaus darbuotojai
C000607_lt_000	Gatvės prekeiviai (išskyrus maisto)
C000608_lt_000	Gatvės prekeiviai (išskyrus maisto)
C000609_lt_000	Šiukšlių surinkimo ir kiti nekvalifikuoti darbininkai
C000610_lt_000	Šiukšlių surinkimo darbininkai
C000611_lt_000	Šiukšlių ir perdirbamų atliekų surinkėjai
C000612_lt_000	Šiukšlių rūšiuotojai
C000613_lt_000	Kiemsargiai ir susiję darbininkai
C000614_lt_000	Kiti nekvalifikuoti darbininkai
C000615_lt_000	Kurjeriai, pasiuntiniai ir bagažo nešikai
C000616_lt_000	Įvairų nekvalifikuotą darbą dirbantys darbininkai
C000617_lt_000	Pinigų iš automatų surinkėjai ir matavimo prietaisų rodmenų tikrintojai
C000618_lt_000	Vandens ir malkų rinkėjai
C000619_lt_000	Kitur nepriskirti nekvalifikuoti darbininkai
C000620_lt_000	technikos direktorius
C000620_lt_001	direktorius techniniams klausimams
C000620_lt_002	technikos direktorė
C000620_lt_003	technikos vadovas
C000621_lt_000	metalo tempimo mašinų operatorius
C000621_lt_001	formavimo mašinų operatorius
C000621_lt_002	formavimo staklių technikas
C000621_lt_003	karštojo vielos tempimo staklių operatorius
C000621_lt_004	metalo tempimo mašinų operatorė
C000621_lt_005	metalo tempimo mašinų technikas
C000621_lt_006	metalo tempimo staklių operatorius
C000621_lt_007	tempimo staklių operatorius
C000621_lt_008	tempimo staklių technikas
C000621_lt_009	vamzdžių tempimo mašinų operatorius
C000621_lt_010	vielos tempimo mašinų meistras derintojas
C000621_lt_011	vielos tempimo mašinų operatorius
C000621_lt_012	vielos tempimo staklių derintojas
C000621_lt_013	vielos tempimo staklių operatorius
C000621_lt_014	vielos tempėjas
C000621_lt_015	šaltojo vielos tempimo staklių operatorius
C000622_lt_000	tiksliųjų prietaisų inspektorius
C000622_lt_001	tiksliųjų prietaisų inspektorė
C000622_lt_002	tiksliųjų prietaisų ir įrankių inspektorius
C000622_lt_003	tiksliųjų prietaisų ir įrankių kokybės inspektorius
C000622_lt_004	tiksliųjų prietaisų ir įrankių kokybės užtikrinimo inspektorius
C000622_lt_005	tiksliųjų prietaisų kokybės užtikrinimo inspektorius
C000622_lt_006	tiksliųjų įrankių inspektorius
C000622_lt_007	tiksliųjų įrankių kokybės užtikrinimo inspektorius
C000623_lt_000	skrydžių saugos technikas
C000623_lt_001	oro eismo saugos elektronikos technikas
C000623_lt_002	oro eismo saugos inžinierius
C000623_lt_003	skrydžių saugos technikė
C000624_lt_000	apgyvendinimo vietos pajamų vadovas
C000624_lt_001	apgyvendinimo vietos pajamų vadovė
C000624_lt_002	pajamų vadovas
C000624_lt_003	pardavimo vadovas
C000625_lt_000	medicinos laboratorijos asistentas
C000625_lt_001	biomedicinos laboratorijos asistentas
C000625_lt_002	biomedicinos tyrimų laboratorijos asistentas
C000625_lt_003	klinikinių tyrimų asistentas
C000625_lt_004	medicinos laboratorijos asistentė
C000625_lt_005	medicinos tyrimų laboratorijos asistentas
C000626_lt_000	asfaltbetonio laboratorinių bandymų technikas
C000626_lt_001	asfaltbetonio gamybos technikas
C000626_lt_002	asfaltbetonio laboratorinių bandymų technikė
C000626_lt_003	asfalto gamybos technikas
C000626_lt_004	asfalto ir kitų susijusių medžiagų laboratorijos technologas
C000626_lt_005	bitumo gamybos technikas
C000626_lt_006	kelio dangos medžiagų laboratorinių bandymų technikas
C000626_lt_007	kelio dangos technikas
C000626_lt_008	kelių bitumo gamybos technikas
C000626_lt_009	kelių statybinių medžiagų laboratorinių tyrimų technikas
C000626_lt_010	medžiagų technikas
C000627_lt_000	pradinės mokyklos mokytojo padėjėjas
C000627_lt_001	pradinių klasių mokytojo padėjėjas
C000627_lt_002	pradinės mokyklos mokytojo padėjėja
C000628_lt_000	kineziterapeutas
C000628_lt_001	fizioterapijos specialistas
C000628_lt_002	hidroterapijos specialistas
C000628_lt_003	kineziterapeutė
C000629_lt_000	scenos meno mokyklos vaidybos mokytojas
C000629_lt_001	dramos mokytojas
C000629_lt_002	scenos meno mokyklos vaidybos mokytoja
C000629_lt_003	scenos menų mokytojas
C000629_lt_004	teatro mokytojas
C000629_lt_005	vaidybos mokytojas
C000630_lt_000	hidrinimo įrangos operatorius
C000630_lt_001	hidrinimo įrangos operatorė
C000630_lt_002	riebalų hidrinimo įrangos operatorius
C000631_lt_000	makaronų gamybos įrenginių operatorius
C000631_lt_001	makaronų gaminimo mašinos operatorius
C000631_lt_002	makaronų gamintojas
C000631_lt_003	makaronų gamybos įrenginių operatorė
C000632_lt_000	tabako parduotuvės vadovas
C000632_lt_001	cigarų ir cigarečių parduotuvės vadovas
C000632_lt_002	prekiautojas tabako gaminiais
C000632_lt_003	tabako parduotuvės vadovė
C000633_lt_000	kitų mašinų, įrangos ir materialiųjų vertybių nuomos agentas
C000633_lt_001	kitų mašinų, įrangos ir materialiųjų vertybių nuomos agentė
C000633_lt_002	kitų mašinų, įrangos ir materialiųjų vertybių nuomos paslaugų specialistas
C000633_lt_003	kitų mašinų, įrangos ir materialiųjų vertybių nuomos specialistas
C000634_lt_000	kasyklų geodezininkas
C000634_lt_001	geodezininkas
C000634_lt_002	kasyklų geodezininkė
C000634_lt_003	kasyklų topografas
C000635_lt_000	maisto saugos specialistas
C000635_lt_001	maisto higienos specialistas
C000635_lt_002	maisto saugos atitikties užtikrinimo vadovas
C000635_lt_003	maisto saugos inspektorius
C000635_lt_004	maisto saugos kontrolierius
C000635_lt_005	maisto saugos specialistė
C000635_lt_006	maisto saugos technologas
C000636_lt_000	žemės ūkio mašinų technikas
C000636_lt_001	žemės ūkio mašinų mechanikas
C000636_lt_002	žemės ūkio mašinų remontininkas
C000636_lt_003	žemės ūkio mašinų technikė
C000637_lt_000	autobuso vairuotojas
C000637_lt_001	autobuso vairuotoja
C000637_lt_002	mikroautobuso vairuotojas
C000637_lt_003	mokyklinio autobuso vairuotojas
C000637_lt_004	tarpmiestinio autobuso vairuotojas
C000637_lt_005	tarptautinių reisų autobuso vairuotojas
C000637_lt_006	turistinio autobuso vairuotojas
C000638_lt_000	mėsos ir mėsos gaminių importo ir eksporto vadovas
C000638_lt_001	mėsos ir mėsos gaminių eksporto vadovas
C000638_lt_002	mėsos ir mėsos gaminių importo ir eksporto vadovė
C000638_lt_003	mėsos ir mėsos gaminių importo vadovas
C000638_lt_004	mėsos ir mėsos gaminių tarptautinės prekybos vadovas
C000639_lt_000	būsto politikos specialistas
C000639_lt_001	būsto politikos ekspertas
C000639_lt_002	būsto politikos specialistė
C000640_lt_000	vyriausiasis virėjas
C000640_lt_001	virtuvės vedėjas
C000640_lt_002	vyr. virėjas
C000640_lt_003	vyriausioji virėja
C000640_lt_004	šefas
C000641_lt_000	neaustinių gijų gamybos mašinų operatorius
C000641_lt_001	neaustinių gijų apdorojimo mašinų operatorius
C000641_lt_002	neaustinių gijų gamybos mašinų operatorė
C000642_lt_000	aukštosios mokyklos vadovas
C000642_lt_001	akademijos vadovas
C000642_lt_002	aukštojo mokslo įstaigos vadovas
C000642_lt_003	aukštosios mokyklos vadovė
C000642_lt_004	konservatorijos vadovas
C000642_lt_005	rektorius
C000642_lt_006	universiteto rektorius
C000642_lt_007	universiteto vadovas
C000643_lt_000	izoliavimo darbų techninis prižiūrėtojas
C000643_lt_001	apšiltinimo darbų prižiūrėtojas
C000643_lt_002	fasado šiltinimo sistemų montavimo vadovas
C000643_lt_003	izoliavimo darbų techninė prižiūrėtoja
C000643_lt_004	termoizoliacinių medžiagų montavimo darbų prižiūrėtojas
C000643_lt_005	tuščiavidurių sienų izoliavimo darbų vadovas
C000643_lt_006	šiltinimo sistemų montavimo darbų vadovas
C000643_lt_007	šiltinimo sistemų montavimo vadovas
C000644_lt_000	demontavimo inžinierius
C000644_lt_001	demontavimo inžinierė
C000644_lt_002	demontavimo technikas
C000644_lt_003	išmontavimo inžinierius
C000644_lt_004	išmontavimo technikas
C000645_lt_000	draudimo išmokų administratorius
C000645_lt_001	draudimo išmokų administratorė
C000645_lt_002	draudimo išmokų analitikas
C000645_lt_003	draudimo išmokų inspektorius
C000645_lt_004	draudimo išmokų vadybininkas
C000645_lt_005	draudimo kreditinių reikalavimų inspektorius
C000645_lt_006	draudimo kreditinių reikalavimų vertintojas
C000645_lt_007	kelionių draudimo išmokų vertintojas
C000645_lt_008	kelionių draudimo vadybininkas
C000645_lt_009	kreditinių reikalavimų vertintojas
C000646_lt_000	aprangos kūrimo vadovas
C000646_lt_001	aprangos kūrimo vadovė
C000646_lt_002	aprangos kūrėjas
C000646_lt_003	drabužių kūrėjas
C000646_lt_004	drabužių vadovas
C000646_lt_005	prekės ženklo vadovas
C000646_lt_006	produktų kūrimo vadovas
C000646_lt_007	projekto vadovas
C000647_lt_000	nitroglicerino separatoriaus operatorius
C000647_lt_001	cheminių medžiagų tvarkymo įrenginių operatorius
C000647_lt_002	nitroglicerino separatoriaus meistras derintojas
C000647_lt_003	nitroglicerino separatoriaus operatorė
C000647_lt_004	nitroglicerino separatorius
C000648_lt_000	biomedicinos inžinierius
C000648_lt_001	biologinės medicinos specialistas
C000648_lt_002	biomedicinos inžinerijos specialistas
C000648_lt_003	biomedicinos inžinierė
C000648_lt_004	biomedicinos konsultantas
C000648_lt_005	biomedicinos specialistas
C000648_lt_006	biomedicinos technologijų inžinerijos konsultantas
C000649_lt_000	teisinis globėjas
C000649_lt_001	globėjas
C000649_lt_002	rūpintojas
C000649_lt_003	teisinė globėja
C000649_lt_004	teisėtas globėjas
C000650_lt_000	audėjas
C000650_lt_001	audėja
C000651_lt_000	plytelių klojėjas
C000651_lt_001	plytelių klojikas
C000651_lt_002	plytelių klojėja
C000652_lt_000	batų ir odos dirbinių parduotuvės vadovas
C000652_lt_001	avalynės parduotuvės vadovas
C000652_lt_002	batų ir odos dirbinių parduotuvės direktorius
C000652_lt_003	batų ir odos dirbinių parduotuvės vadovė
C000652_lt_004	batų parduotuvės direktorius
C000652_lt_005	batų parduotuvės vadovas
C000652_lt_006	batų taisyklos vadovas
C000652_lt_007	odos dirbinių parduotuvės direktorius
