C000001_da_000	Militært arbejde
C000504_da_000	Skomagerarbejde og beslægtet arbejde
C000505_da_000	Andet håndværkspræget arbejde
C000506_da_000	Dykkerarbejde
C000507_da_000	Sprængnings- og fyrværkeriarbejde
C000508_da_000	Kvalitetskontrol og testarbejde af produkter (undtagen nærings- og nydelsesmidler)
C000509_da_000	Desinfektionsarbejde og skadedyrsbekæmpelse
C000510_da_000	Håndværkspræget arbejde ikke klassificeret andetsteds
C000511_da_000	Operatør- og monteringsarbejde samt transportarbejde
C000512_da_000	Operatørarbejde ved stationære anlæg og maskiner
C000513_da_000	Operatørarbejde ved anlæg i minedrift og råstofudvinding
C000514_da_000	Mine- og stenbrudsarbejde
C000515_da_000	Operatørarbejde ved anlæg til råstofudvinding
C000516_da_000	Boreanlægsarbejde
C000517_da_000	Operatørarbejde ved fremstilling af cement-, sten- og andre råstofprodukter
C000518_da_000	Operatørarbejde ved forarbejdning og færdiggørelse af metal
C000519_da_000	Operatørarbejde ved forarbejdning af metal
C000520_da_000	Operatørarbejde ved færdiggørelse af metal
C000521_da_000	Operatørarbejde ved fremstilling af kemiske og fotografiske produkter
C000522_da_000	Operatørarbejde ved fremstilling af kemiske produkter
C000523_da_000	Operatørarbejde ved fremstilling af fotografiske produkter
C000524_da_000	Operatører af maskiner til fremstilling af gummi-, plastik- og papirprodukter
C000525_da_000	Operatørarbejde ved fremstilling af gummiprodukter
C000526_da_000	Operatørarbejde ved fremstilling af plast
C000527_da_000	Operatørarbejde ved fremstilling af papirprodukter
C000528_da_000	Operatørarbejde ved fremstilling af tekstil-, pels- og læderprodukter
C000529_da_000	Operatørarbejde ved forarbejdning af materialer i fiber og tekstil
C000530_da_000	Operatørarbejde ved vævning og strikning
C000531_da_000	Operatørarbejde af symaskiner
C000532_da_000	Operatørarbejde ved blegning, farvning og rensning af tekstiler
C000533_da_000	Operatørarbejde ved klargøring af pels og læder
C000534_da_000	Operatørarbejde ved fremstilling af fodtøj og tilsvarende produkter
C000535_da_000	Operatørarbejde af vaskemaskiner
C000536_da_000	Andet operatørarbejde ved fremstilling af tekstil-, pels- og læderprodukter
C000537_da_000	Operatørarbejde ved fremstilling af nærings- og nydelsesmidler
C000538_da_000	Operatørarbejde ved fremstilling af nærings- og nydelsesmidler
C000539_da_000	Operatørarbejde ved træforarbejdning og papirfremstilling
C000540_da_000	Operatørarbejde ved fremstilling af papirmasse og papirprodukter
C000541_da_000	Operatørarbejde ved træforarbejdning
C000542_da_000	Andet operatørarbejde ved stationære anlæg og maskiner
C000543_da_000	Operatørarbejde ved fremstilling af glas og keramik
C000544_da_000	Operatørarbejde ved dampmaskin- og kedelanlæg
C000545_da_000	Operatørarbejde af maskiner til pakning, påfyldning og mærkning
C000546_da_000	Andet operatørarbejde ved stationære anlæg og maskiner
C000547_da_000	Monteringsarbejde
C000548_da_000	Monteringsarbejde
C000549_da_000	Monteringsarbejde af mekaniske maskiner
C000550_da_000	Monteringsarbejde af elektrisk og elektronisk udstyr
C000551_da_000	Andet monteringsarbejde
C000552_da_000	Chaufførarbejde og førere af køretøjer og mobile maskiner
C000553_da_000	Togførerarbejde og tograngering
C000554_da_000	Togførerarbejde
C000555_da_000	Tograngering
C000556_da_000	Chauffører af biler, varevogne og motorcykler
C000557_da_000	Motorcykelførere
C000558_da_000	Chauffører af biler, taxier og varevogne
C000559_da_000	Chauffører af busser og lastbiler
C000560_da_000	Buschauffører og sporvognsførere
C000561_da_000	Lastbilchauffører
C000562_da_000	Førere af mobile maskiner
C000563_da_000	Førere af mobile landsbrugs- og skovbrugsmaskiner
C000564_da_000	Entreprenørmaskinførerarbejde
C000565_da_000	Kran- og liftførerarbejde
C000566_da_000	Truckførerarbejde
C000567_da_000	Dæksarbejde og medhjælp om bord på skibe
C000568_da_000	Dæksarbejde og medhjælp om bord på skibe
C000569_da_000	Andet manuelt arbejde
C000570_da_000	Rengøringsarbejde
C000571_da_000	Rengøringsarbejde i private hjem, hoteller og kontorer
C000572_da_000	Rengøringsarbejde i private hjem
C000573_da_000	Rengøringsarbejde undtagen i private hjem
C000574_da_000	Manuelt rengøringsarbejde af køretøjer, vinduer, vasketøj og andet
C000575_da_000	Manuel vask og presning af tøj
C000576_da_000	Rengøring af transportmidler
C000577_da_000	Vinduespudsning
C000578_da_000	Andet rengøringsarbejde
C000579_da_000	Manuelt arbejde inden for landbrug, skovbrug og fiskeri
C000580_da_000	Manuelt arbejde inden for landbrug, skovbrug og fiskeri
C000581_da_000	Manuelt arbejde inden for agerbrug
C000582_da_000	Manuelt arbejde inden for husdyravl
C000583_da_000	Manuelt arbejde inden for både agerbrug og husdyravl
C000584_da_000	Manuelt arbejde inden for havebrug og væksthusgartneri
C000585_da_000	Manuelt skovarbejde
C000586_da_000	Manuelt arbejde inden for fiskeri og akvakultur
C000587_da_000	Manuelt arbejde inden for råstofudvinding, bygge- og anlægssektoren, produktion og transport
C000588_da_000	Manuelt arbejde inden for råstofudvinding og bygge- og anlægssektoren
C000589_da_000	Manuelt arbejde inden for råstofudvinding
C000590_da_000	Manuelt arbejde inden for anlægssektoren
C000591_da_000	Manuelt arbejde inden for byggesektoren
C000592_da_000	Manuelt produktionsarbejde
C000593_da_000	Pakkeriarbejde
C000594_da_000	Andet manuelt produktionsarbejde
C000595_da_000	Transport- og lagerarbejde
C000596_da_000	Førere af hånd- og pedaldrevne køretøjer
C000597_da_000	Førere af dyretrukne køretøjer og maskineri
C000598_da_000	Arbejde med lastning og losning
C000599_da_000	Arbejde med opfyldning af lager og butik
C000600_da_000	Manuelt arbejde med tilberedning af mad
C000601_da_000	Manuelt arbejde med tilberedning af mad
C000602_da_000	Tilberedning af fastfood
C000603_da_000	Køkkenhjælp
C000604_da_000	Gadesalg og -service
C000605_da_000	Servicearbejde på gaden
C000606_da_000	Servicearbejde på gaden
C000607_da_000	Gadesalg (undtagen madvarer)
C000608_da_000	Gadesalg (undtagen madvarer)
C000609_da_000	Renovationsarbejde og andet manuelt arbejde
C000610_da_000	Renovationsarbejde
C000611_da_000	Indsamling af skrald og genbrugsartikler
C000612_da_000	Arbejde med affaldssortering
C000613_da_000	Gadefejning og beslægtet arbejde
C000614_da_000	Andet manuelt arbejde
C000615_da_000	Kurérarbejde og transport af bagage
C000616_da_000	Forefaldende arbejde
C000617_da_000	Måleraflæsning og tømning af salgsautomater
C000618_da_000	Arbejde med indsamling af vand og brænde
C000619_da_000	Andet manuelt arbejde
C000620_da_000	teknisk leder
C000621_da_000	operatør af trækpresse - metal
C000621_da_001	procesoperatør
C000621_da_002	stansemaskineoperatør
C000621_da_003	trådtrækker
C000621_da_004	trådtrækkeroperatør
C000622_da_000	kvalitetsinspektør inden for præcisionsudstyr
C000622_da_001	kvalitetsinspektør
C000622_da_002	kvalitetsinspektør inden for præcisionsinstrumenter
C000623_da_000	tekniker inden for luftfartssikkerhed
C000623_da_001	ingeniør inden for luftfartssikkerhed
C000624_da_000	serviceøkonom
C000624_da_001	ansvarlig for hotellets økonomi
C000624_da_002	medarbejder med ansvar for hotellets indtjening
C000624_da_003	økonomidirektør på hotel
C000625_da_000	medicinsk laboratorieassistent
C000626_da_000	laboratorietekniker inden for asfaltproduktion
C000626_da_001	asfalttekniker
C000626_da_002	tekniker inden for asfaltproduktion
C000627_da_000	undervisningsassistent i grundskolen 0-6 klasse
C000627_da_001	lærerassistent
C000627_da_002	pædagog
C000627_da_003	undervisningsassistent
C000627_da_004	undervisningsassistent i folkeskolen
C000627_da_005	undervisningsassistent i grundskolen
C000627_da_006	undervisningsassistent i primærskolen
C000628_da_000	fysioterapeut
C000628_da_001	bevægelsesterapeut
C000629_da_000	lærer på skuespillerskole
C000629_da_001	dramatiklærer
C000629_da_002	lærer på teaterskole
C000629_da_003	underviser i scenekunst
C000629_da_004	underviser i teaterkunst
C000629_da_005	underviser ved skuespillerakademi
C000629_da_006	underviser ved teaterakademi
C000630_da_000	maskinoperatør specialiseret i hydrering
C000630_da_001	hydrogeringsmedarbejder
C000630_da_002	tekniker specialiseret i hydreringsprocessen
C000630_da_003	tekniker til dehydreringsmaskine
C000631_da_000	medarbejder på pastafabrik
C000631_da_001	maskinarbejder på pastafabrik
C000631_da_002	produktionsmedarbejder på pastafabrik
C000632_da_000	tobaksforretningschef
C000632_da_001	tobaksforretningsbestyrer
C000632_da_002	tobakshandler
C000633_da_000	medarbejder inden for udlejning af andet materiel, udstyr og andre materielle aktiver
C000633_da_001	medarbejder, udlejning af andet materiel, udstyr og andre materielle aktiver
C000633_da_002	udlejningsmedarbejder, andet materiel, udstyr og andre materielle aktiver
C000634_da_000	minemåler
C000634_da_001	mineopmåler
C000635_da_000	fødevareinspektør
C000635_da_001	fødevarekonsulent
C000635_da_002	specialist i fødevaresikkerhed
C000636_da_000	maskintekniker til landbrugsmaskiner
C000636_da_001	landbrugsmaskinmekaniker
C000636_da_002	maskintekniker til landbrugsredskaber
C000636_da_003	mekaniker til landbrugsmaskiner
C000636_da_004	tekniker til landbrugsmaskiner
C000637_da_000	buschauffør
C000637_da_001	rutebuschauffør
C000637_da_002	skolebuschauffør
C000637_da_003	turistbuschauffør
C000638_da_000	import- og eksportchef inden for kød og kødprodukter
C000638_da_001	assistent for eksportchef inden for kød og kødprodukter
C000638_da_002	assistent importchef inden for kød og kødprodukter
C000638_da_003	international handelschef inden for kød og kødprodukter
C000639_da_000	boligpolitisk medarbejder
C000640_da_000	chefkok
C000640_da_001	chef de cuisine
C000640_da_002	køkkenchef
C000640_da_003	køkkenleder
C000640_da_004	souschef
C000641_da_000	procesoperatør - uvævet filament
C000642_da_000	daglig leder af videregående uddannelsesinstitution
C000642_da_001	daglig leder for højere læreanstalter
C000643_da_000	arbejdsleder inden for isolering
C000643_da_001	arbejdsleder for isoleringsmontører
C000644_da_000	afmonteringstekniker
C000644_da_001	demonteringstekniker
C000645_da_000	skadebehandler
C000645_da_001	forsikringssagsbehandler
C000645_da_002	forsikringstaksator
C000645_da_003	sagsbehandler
C000645_da_004	skadestaksator
C000646_da_000	udviklingschef inden for beklædning
C000646_da_001	beklædningschef
C000646_da_002	brand manager
C000646_da_003	produktudvikler inden for beklædning
C000646_da_004	produktudviklingschef
C000646_da_005	projektleder
C000647_da_000	procesoperatør - nitroglycerin
C000647_da_001	procesoperatør
C000648_da_000	teknisk biomediciner
C000649_da_000	værge
C000649_da_001	plejefar
C000649_da_002	plejeforælder
C000649_da_003	plejemor
C000649_da_004	tilsynsværge
C000650_da_000	væver
C000651_da_000	flisemontør
C000651_da_001	fliselægger
C000651_da_002	fliseopsætter
C000652_da_000	butikschef inden for fodtøj og lædertilbehør
C000652_da_001	butiksbestyrer inden for sko og lædertilbehør
C000652_da_002	skobutiksbestyrer
C000652_da_003	skobutikschef
C000652_da_004	skomager
C000652_da_005	skoreparatør
C000653_da_000	chef for rejseselskab
C000653_da_001	chef for rejsearrangør
C000653_da_002	chef for turoperatør
C000653_da_003	leder for rejsearrangør
C000654_da_000	biavler
C000654_da_001	person der avler bier
C000654_da_002	person der har bihold
C000655_da_000	advokatsekretær
C000655_da_001	juridisk assistent
C000656_da_000	operatør af oliepumpesystem
C000657_da_000	producent af sikkerhedsbeklædning
C000657_da_001	fabrikant af beskyttelsesbeklædning
C000657_da_002	fabrikant af beskyttelsesudstyr
C000657_da_003	fabrikant af sikkerhedsbeklædning
C000658_da_000	operatør af coatingmaskine
C000658_da_001	coatingarbejder
C000658_da_002	coatingmaskineoperatør
C000658_da_003	maskinarbejder - coating
C000658_da_004	procesoperatør - coating
C000659_da_000	leder — udklækning på et akvakulturbrug
C000659_da_001	leder på et akvakulturbrug
C000659_da_002	leder på et dambrug
C000659_da_003	leder på et havbrug
C000660_da_000	industritekniker inden for tandhjulsproduktion
C000660_da_001	CNC-tekniker
C000660_da_002	industritekniker
C000660_da_003	maskinoperatør
C000660_da_004	maskinsmed
C000660_da_005	smed
C000660_da_006	smede- og maskinarbejder
C000661_da_000	chef for værelsesfordeling
C000661_da_001	chef for receptionen
C000661_da_002	koordinator af gæsteværelser
C000661_da_003	receptionschef
C000661_da_004	reservationschef
C000662_da_000	keramikmaler
C000662_da_001	stentøjsmaler
C000663_da_000	telekommunikationsingeniør
C000663_da_001	ingeniør inden for telekommunikation
C000663_da_002	ingeniør til udvikling af telekommunikation
C000663_da_003	telekommunikationsingeniører
C000664_da_000	læsepædagog for voksne
C000664_da_001	ordblindelærer for voksne
C000664_da_002	speciallærer for voksne
C000664_da_003	voksenunderviser i læsefærdighed
C000665_da_000	kvalitetschef inden for fodtøj
C000666_da_000	sprinklermontør
C000666_da_001	installatør af sprinkleranlæg
C000666_da_002	montør af sprinkleranlæg
C000666_da_003	sprinklerinstallatør
C000666_da_004	vvs-montør
C000667_da_000	distributionschef inden for elektronisk udstyr og telekommunikationsudstyr og -dele
C000667_da_001	assistent for distributionschef inden for elektronisk udstyr og telekommunikationsudstyr og -dele
C000667_da_002	supply chain manager inden for elektronisk udstyr og telekommunikationsudstyr og -dele
C000668_da_000	speciallærer i gymnasiet
C000668_da_001	hjælpelærer i gymnasiet
C000668_da_002	støttelærer i gymnasiet
C000668_da_003	støttepædagog i gymnasiet
C000669_da_000	produktionsleder inden for film og teater
C000670_da_000	metalproduktionschef
C000671_da_000	montør af flymotorer
C000672_da_000	stenbrudstekniker
C000672_da_001	stenbrudsingeniør
C000673_da_000	butiksbestyrer inden for lydudstyr
C000673_da_001	butikschef inden for audiologisk udstyr
C000674_da_000	ekspedient i byggemarked
C000674_da_001	byggemarkedssælger
C000674_da_002	ekspedient i en isenkramforretning
C000674_da_003	farvehandler
C000674_da_004	isenkramekspedient
C000674_da_005	isenkramsælger
C000674_da_006	isenkræmmerekspedient
C000674_da_007	salgsassistent i isenkramforretning
C000675_da_000	grundskolelærer
C000675_da_001	folkeskolelærer
C000675_da_002	skolelærer
C000676_da_000	sporvognsfører
C000676_da_001	kabelbanefører
C000676_da_002	letbanefører
C000676_da_003	metrotogfører
C000676_da_004	sporvognskonduktør
C000677_da_000	montageleder inden for beholderproduktion
C000678_da_000	lagerchef inden for tøjbranchen
C000678_da_001	lagerchef inden for mode
C000678_da_002	lagermedarbejder inden for tøjbranchen
C000679_da_000	administrativ assistent
C000679_da_001	kontorassistent
C000680_da_000	maskinoperatør til kaffemølle
C000680_da_001	maskinarbejder til kaffemølle
C000680_da_002	produktionsmedarbejder til fremstilling af kaffe
C000681_da_000	lægesekretær
C000681_da_001	administrativ lægesekretær
C000681_da_002	administrativ medarbejder
C000681_da_003	medicinsk sekretær
C000681_da_004	sundhedsservicesekretær
C000682_da_000	IKT-sikkerhedsadministrator
C000682_da_001	IKT-sikkerhedsadministratorer
C000682_da_002	IT-sikkerhedsadministrator
C000682_da_003	sikkerhedsadministrator IKT
C000683_da_000	arbejdsleder inden for murerarbejder
C000683_da_001	murerformand
C000683_da_002	murermester
C000683_da_003	sjakformand inden for murerarbejder
C000683_da_004	tilsynsførende inden for murerarbejder
C000684_da_000	procesoperatør - blanding af skifer
C000684_da_001	maskinarbejder - blanding af skifer
C000684_da_002	operatør af maskine til blanding af skifer
C000684_da_003	skiferproduktionsarbejder
C000685_da_000	marinetekniker
C000686_da_000	leder af auktionshus
C000687_da_000	softwareanalytiker
C000687_da_001	analytiker af software programanalytiker
C000687_da_002	analytiker af softwarekrav
C000687_da_003	applikationsanalytiker
C000687_da_004	softwareanalytikere
C000688_da_000	regnskabschef
C000688_da_001	bogholder
C000688_da_002	bogholderichef
C000688_da_003	financial accounting manager
C000688_da_004	financial accounts supervisor
C000688_da_005	group accounting manager
C000688_da_006	økonomichef
C000688_da_007	økonomidirektør
