C000001_es_000	Ocupaciones militares
C000546_es_000	Operadores de máquinas y de instalaciones fijas no clasificados bajo otros epígrafes
C000547_es_000	Ensambladores
C000548_es_000	Ensambladores
C000549_es_000	Ensambladores de maquinaria mecánica
C000550_es_000	Ensambladores de equipos eléctricos y electrónicos
C000551_es_000	Ensambladores no clasificados bajo otros epígrafes
C000552_es_000	Conductores de vehículos y operadores de equipos pesados móviles
C000553_es_000	Maquinistas de locomotoras y afines
C000554_es_000	Maquinistas de locomotoras
C000555_es_000	Guardafrenos, guardagujas y agentes de maniobras
C000556_es_000	Conductores de automóviles, camionetas y motocicletas
C000557_es_000	Conductores de motocicletas
C000558_es_000	Conductores de automóviles, taxis y camionetas
C000559_es_000	Conductores de camiones pesados y autobuses
C000560_es_000	Conductores de autobuses y tranvías
C000561_es_000	Conductores de camiones pesados
C000562_es_000	Operadores de equipos pesados móviles
C000563_es_000	Operadores de maquinaria agrícola y forestal móvil
C000564_es_000	Operadores de máquinas de movimiento de tierras y afines
C000565_es_000	Operadores de grúas, aparatos elevadores y afines
C000566_es_000	Operadores de autoelevadoras
C000567_es_000	Marineros de cubierta y afines
C000568_es_000	Marineros de cubierta y afines
C000569_es_000	Ocupaciones elementales
C000570_es_000	Limpiadores y asistentes
C000571_es_000	Limpiadores y asistentes domésticos de hoteles y oficinas
C000572_es_000	Limpiadores y asistentes domésticos
C000573_es_000	Limpiadores y asistentes de oficinas, hoteles y otros establecimientos
C000574_es_000	Limpiadores de vehículos, ventanas, ropa y otra limpieza a mano
C000575_es_000	Lavanderos y planchadores manuales
C000576_es_000	Lavadores de vehículos
C000577_es_000	Lavadores de ventanas
C000578_es_000	Otro personal de limpieza
C000579_es_000	Peones agropecuarios, pesqueros y forestales
C000580_es_000	Peones agropecuarios, pesqueros y forestales
C000581_es_000	Peones de explotaciones agrícolas
C000582_es_000	Peones de explotaciones ganaderas
C000583_es_000	Peones de explotaciones de cultivos mixtos y ganaderos
C000584_es_000	Peones de jardinería y horticultura
C000585_es_000	Peones forestales
C000586_es_000	Peones de pesca y acuicultura
C000587_es_000	Peones de la minería, la construcción, la industria manufacturera y el transporte
C000588_es_000	Peones de la minería y la construcción
C000589_es_000	Peones de minas y canteras
C000590_es_000	Peones de obras públicas y mantenimiento
C000591_es_000	Peones de la construcción de edificios
C000592_es_000	Peones de la industria manufacturera
C000593_es_000	Empacadores manuales
C000594_es_000	Peones de la industria manufacturera no clasificados bajo otros epígrafes
C000595_es_000	Peones del transporte y almacenamiento
C000596_es_000	Conductores de vehículos accionados a pedal o a brazo
C000597_es_000	Conductores de vehículos y máquinas de tracción animal
C000598_es_000	Peones de carga
C000599_es_000	Reponedores de estanterías
C000600_es_000	Ayudantes de preparación de alimentos
C000601_es_000	Ayudantes de preparación de alimentos
C000602_es_000	Cocineros de comidas rápidas
C000603_es_000	Ayudantes de cocina
C000604_es_000	Vendedores ambulantes de servicios y afines
C000605_es_000	Trabajadores ambulantes de servicios y afines
C000606_es_000	Trabajadores ambulantes de servicios y afines
C000607_es_000	Vendedores ambulantes (excluyendo de comida)
C000608_es_000	Vendedores ambulantes (excluyendo de comida)
C000609_es_000	Recolectores de desechos y otras ocupaciones elementales
C000610_es_000	Recolectores de desechos
C000611_es_000	Recolectores de basura y material reciclable
C000612_es_000	Clasificadores de desechos
C000613_es_000	Barrenderos y afines
C000614_es_000	Otras ocupaciones elementales
C000615_es_000	Mensajeros, mandaderos, maleteros y repartidores
C000616_es_000	Personas que realizan trabajos varios
C000617_es_000	Recolectores de dinero en aparatos de venta automática y lectores de medidores
C000618_es_000	Acarreadores de agua y recolectores de leña
C000619_es_000	Ocupaciones elementales no clasificadas bajo otros epígrafes
C000620_es_000	director técnico/directora técnica
C000620_es_001	director técnico
C000620_es_002	directora técnica
C000621_es_000	operador de máquina perfiladora de metal/operadora de máquina perfiladora de metal
C000621_es_001	operador de máquina perfiladora de metal
C000621_es_002	operador de máquina trefiladora
C000621_es_003	operador de máquina trefiladora de metales
C000621_es_004	operadora de máquina perfiladora de metal
C000621_es_005	operadora de máquina trefiladora
C000621_es_006	operadora de máquina trefiladora de metales
C000621_es_007	trefilador
C000621_es_008	trefiladora
C000621_es_009	técnica de máquina trefiladora
C000621_es_010	técnico de máquina trefiladora
C000622_es_000	inspector de dispositivos de precisión/inspectora de dispositivos de precisión
C000622_es_001	inspector de control de calidad de dispositivos de precisión
C000622_es_002	inspector de dispositivos de precisión
C000622_es_003	inspector de instrumentos de precisión
C000622_es_004	inspectora de control de calidad de dispositivos de precisión
C000622_es_005	inspectora de dispositivos de precisión
C000622_es_006	inspectora de instrumentos de precisión
C000622_es_007	supervisor de calidad de dispositivos de precisión
C000622_es_008	supervisora de calidad de dispositivos de precisión
C000623_es_000	técnico de seguridad aérea/técnica de seguridad aérea
C000623_es_001	ingeniera aeronáutica (seguridad aérea)
C000623_es_002	ingeniero aeronáutico (seguridad aérea)
C000623_es_003	técnica de seguridad aérea
C000623_es_004	técnica de seguridad de tráfico aéreo
C000623_es_005	técnico de seguridad aérea
C000623_es_006	técnico de seguridad de tráfico aéreo
C000624_es_000	gestor de precios/gestora de precios
C000624_es_001	administrador de precios
C000624_es_002	administradora de precios
C000624_es_003	director de revenue management en hostelería
C000624_es_004	directora de revenue management en hostelería
C000624_es_005	encargada del establecimiento de precios
C000624_es_006	encargado del establecimiento de precios
C000624_es_007	gestor de precios
C000624_es_008	gestora de precios
C000624_es_009	responsable de precios
C000624_es_010	responsable del establecimiento de precios
C000625_es_000	auxiliar de laboratorio de análisis clínicos
C000625_es_001	asistente de investigación clínica
C000625_es_002	auxiliar de laboratorio sanitario
C000625_es_003	ayudante de laboratorio biomédico
C000626_es_000	técnico de laboratorio de asfaltos/técnica de laboratorio de asfaltos
C000626_es_001	técnica de laboratorio de asfaltos
C000626_es_002	técnica de laboratorio de materiales
C000626_es_003	técnica de laboratorio de obra
C000626_es_004	técnica de laboratorio de suelos (asfalto)
C000626_es_005	técnica en mecánica de suelos y pavimentos
C000626_es_006	técnico de laboratorio de asfaltos
C000626_es_007	técnico de laboratorio de materiales
C000626_es_008	técnico de laboratorio de obra
C000626_es_009	técnico de laboratorio de suelos (asfalto)
C000626_es_010	técnico en mecánica de suelos y pavimentos
C000627_es_000	asistente en educación primaria
C000627_es_001	auxiliar pedagógica de escuela primaria
C000627_es_002	auxiliar pedagógico de escuela primaria
C000627_es_003	ayudante técnica educativa
C000627_es_004	ayudante técnico educativo
C000628_es_000	fisioterapeuta
C000629_es_000	profesor de teatro en escuela superior de artes escénicas/profesora de teatro en escuela superior de artes escénicas
C000629_es_001	profesor de arte dramático en escuela superior de artes escénicas
C000629_es_002	profesor de teatro en escuela superior de artes escénicas
C000629_es_003	profesora de arte dramático en escuela superior de artes escénicas
C000629_es_004	profesora de teatro en escuela superior de artes escénicas
C000630_es_000	operario de equipos de hidrogenación/operaria de equipos de hidrogenación
C000630_es_001	encargada de equipos de hidrogenación
C000630_es_002	encargado de equipos de hidrogenación
C000630_es_003	operador de equipos de hidrogenación
C000630_es_004	operadora de equipos de hidrogenación
C000630_es_005	responsable de equipos de hidrogenación
C000631_es_000	operario de fabricación de pasta/operaria de fabricación de pasta
C000631_es_001	encargada del funcionamiento de la máquina para la fabricación de pasta
C000631_es_002	encargado del funcionamiento de la máquina para la fabricación de pasta
C000631_es_003	operaria de la máquina para la fabricación de pasta
C000631_es_004	operario de la máquina para la fabricación de pasta
C000631_es_005	responsable del funcionamiento de la máquina para la fabricación de pasta
C000632_es_000	gerente de tienda de tabaco
C000632_es_001	gerente de estanco
C000632_es_002	responsable de estanco
C000632_es_003	responsable de tienda de tabaco y artículos de tabaquería
C000633_es_000	representante de servicio de alquiler de otras máquinas y equipos
C000634_es_000	jefe de planificación de mina/jefa de planificación de mina
C000634_es_001	jefa de planificación de mina
C000634_es_002	jefe de planificación de mina
C000634_es_003	supervisor de mina
C000634_es_004	supervisora de mina
C000634_es_005	topógrafa minera
C000634_es_006	topógrafo minero
C000635_es_000	especialista en seguridad alimentaria
C000635_es_001	especialista en higiene de los alimentos
C000635_es_002	inspector de alimentos
C000635_es_003	inspectora de alimentos
C000636_es_000	técnico de mantenimiento de maquinaria agrícola/técnica de mantenimiento de maquinaria agrícola
C000636_es_001	especialista en mantenimiento de maquinaria agrícola
C000636_es_002	técnica de mantenimiento de maquinaria agrícola
C000636_es_003	técnica especialista en matenimiento de maquinaria agrícola
C000636_es_004	técnica especializada en el mantenimiento de maquinaria
C000636_es_005	técnico de mantenimiento de maquinaria agrícola
C000636_es_006	técnico especialista en matenimiento de maquinaria agrícola
C000636_es_007	técnico especializado en el mantenimiento de maquinaria
C000637_es_000	conductor de autobús/conductora de autobús
C000637_es_001	conductor de autobús
C000637_es_002	conductor de autobús escolar
C000637_es_003	conductor de autobús internacional
C000637_es_004	conductor de autobús interurbano
C000637_es_005	conductor de autobús turístico
C000637_es_006	conductor de autobús urbano
C000637_es_007	conductora de autobús
C000637_es_008	conductora de autobús escolar
C000637_es_009	conductora de autobús internacional
C000637_es_010	conductora de autobús interurbano
C000637_es_011	conductora de autobús turístico
C000637_es_012	conductora de autobús urbano
C000638_es_000	director de importación y exportación de carne y productos cárnicos/directora de importación y exportación de carne y productos cárnicos
C000638_es_001	director de importación y exportación de carne y productos cárnicos
C000638_es_002	directora de importación y exportación de carne y productos cárnicos
C000638_es_003	responsable de importación y exportación de carne y productos cárnicos
C000639_es_000	responsable de políticas de vivienda
C000640_es_000	jefe de cocina/jefa de cocina
C000640_es_001	chef de cocina
C000640_es_002	cocinera jefe
C000640_es_003	cocinero jefe
C000640_es_004	encargada de la cocina
C000640_es_005	encargado de la cocina
C000640_es_006	jefa de cocina
C000640_es_007	jefe de cocina
C000640_es_008	responsable de cocina
C000641_es_000	operador de máquinas de preparación de fibras, hilado y devanado /operadora de máquinas de preparación de fibras, hilado y devanado
C000641_es_001	operador de máquinas de preparación de fibras, hilado y devanado
C000641_es_002	operador de máquinas para elaborar filamentos no tejidos
C000641_es_003	operador de máquinas para fabricar filamentos no tejidos
C000641_es_004	operadora de máquinas de preparación de fibras, hilado y devanado
C000641_es_005	operadora de máquinas para elaborar filamentos no tejidos
C000641_es_006	operadora de máquinas para fabricar filamentos no tejidos
C000642_es_000	director de instituciones de enseñanza superior/directora de instituciones de enseñanza superior
