C000001_de_000	Angehörige der regulären Streitkräfte
C000478_de_000	Elektriker- und Elektroniker
C000479_de_000	Elektroinstallateure und -mechaniker
C000480_de_000	Bauelektriker und verwandte Berufe
C000481_de_000	Elektromechaniker und verwandte Berufe
C000482_de_000	Elektroleitungsinstallateure und Wartungspersonal
C000483_de_000	Installateure und Mechaniker für Elektronik und Telekommunikationstechnik
C000484_de_000	Elektroniker und Elektronik-Servicetechniker
C000485_de_000	Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik
C000486_de_000	Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte
C000487_de_000	Berufe in der Nahrungsmittelverarbeitung und verwandte handwerkliche Fachkräfte
C000488_de_000	Fleischer, Fischhändler und -verarbeiter und verwandte Berufe
C000489_de_000	Bäcker, Konditoren und Konfektmacher
C000490_de_000	Molkerei- und Käsereifachkräfte
C000491_de_000	Obst- und Gemüsekonservierer und verwandte Berufe
C000492_de_000	Nahrungsmittel- und Getränkekoster und -klassierer
C000493_de_000	Tabakaufbereiter und Tabakwarenmacher
C000494_de_000	Holzbearbeiter, Möbeltischler und verwandte Berufe
C000495_de_000	Holztrockner und -konservierer
C000496_de_000	Möbeltischler und verwandte Berufe
C000497_de_000	Einrichter und Bediener von Holzbearbeitungsmaschinen
C000498_de_000	Berufe der Bekleidungsherstellung und verwandte Berufe
C000499_de_000	Herren- und Damenschneider, Kürschner und Hutmacher
C000500_de_000	Schnittmustermacher und Zuschneider
C000501_de_000	Näher, Sticker und verwandte Berufe
C000502_de_000	Polsterer und verwandte Berufe
C000503_de_000	Pelzveredler, Gerber und Fellzurichter
C000504_de_000	Schuhmacher und verwandte Berufe
C000505_de_000	Sonstige Handwerks- und verwandte Berufe
C000506_de_000	Taucher
C000507_de_000	Sprengmeister und Sprengbeauftragte
C000508_de_000	Produkttester und -klassierer (ohne Nahrungsmittel und Getränke)
C000509_de_000	Kammerjäger und andere Schädlingsbekämpfungsberufe
C000510_de_000	Handwerks- und verwandte Berufe, anderweitig nicht genannt
C000511_de_000	Bediener von Anlagen und Maschinen und Montageberufe
C000512_de_000	Bediener stationärer Anlagen und Maschinen
C000513_de_000	Bediener von Anlagen für den Bergbau und die Mineralaufbereitung
C000514_de_000	Bergleute und Grubenarbeiter
C000515_de_000	Bediener von Mineral- und Gesteinsaufbereitungsanlagen
C000516_de_000	Tiefbohrer und verwandte Berufe
C000517_de_000	Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien
C000518_de_000	Bediener von Anlagen in der Metallerzeugung, -umformung und -veredlung
C000519_de_000	Bediener von Anlagen in der Metallerzeugung und -umformung
C000520_de_000	Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen
C000521_de_000	Bediener von Anlagen und Maschinen für chemische und fotografische Erzeugnisse
C000522_de_000	Bediener von Anlagen und Maschinen für chemische Erzeugnisse
C000523_de_000	Bediener von Anlagen für fotografische Erzeugnisse
C000524_de_000	Bediener von Maschinen zur Herstellung von Gummi-, Kunststoff- und Papierwaren
C000525_de_000	Bediener von Maschinen zur Herstellung von Gummiwaren
C000526_de_000	Bediener von Maschinen zur Herstellung von Kunststoffwaren
C000527_de_000	Bediener von Maschinen zur Herstellung von Papierwaren
C000528_de_000	Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren
C000529_de_000	Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen
C000530_de_000	Bediener von Web-, Strick- und Wirkmaschinen
C000531_de_000	Bediener von Nähmaschinen
C000532_de_000	Bediener von Bleich- und Färbemaschinen
C000533_de_000	Bediener von Pelz- und Lederzurichtungs- und -vorbereitungsmaschinen
C000534_de_000	Bediener von Maschinen zur Schuhherstellung und verwandte Berufe
C000535_de_000	Bediener von Wäschereimaschinen
C000536_de_000	Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, anderweitig nicht genannt
C000537_de_000	Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln
C000538_de_000	Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln
C000539_de_000	Bediener von Anlagen zur Holzaufbereitung und Papierherstellung
C000540_de_000	Bediener von Anlagen zur Zellstoff- und Papierherstellung
C000541_de_000	Bediener von Anlagen zur Holzaufbereitung
C000542_de_000	Bediener sonstiger stationärer Anlagen und Maschinen
C000543_de_000	Bediener von Anlagen zur Glas- und Keramikherstellung
C000544_de_000	Bediener von Dampfmaschinen und -kesseln
C000545_de_000	Bediener von Verpackungs-, Abfüll- und Etikettiermaschinen
C000546_de_000	Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt
C000547_de_000	Montageberufe
C000548_de_000	Montageberufe
C000549_de_000	Berufe der Montage von mechanischen Bauteilen
C000550_de_000	Berufe der Montage von elektrischen und elektronischen Geräten
C000551_de_000	Montageberufe, anderweitig nicht genannt
C000552_de_000	Fahrzeugführer und Bediener mobiler Anlagen
C000553_de_000	Lokomotivführer und verwandte Berufe
C000554_de_000	Lokomotivführer
C000555_de_000	Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb
C000556_de_000	Kraftfahrzeugführer
C000557_de_000	Kraftradfahrer
C000558_de_000	Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer
C000559_de_000	Fahrer schwerer Lastkraftwagen und Busse
C000560_de_000	Busfahrer und Straßenbahnführer
C000561_de_000	Fahrer schwerer Lastkraftwagen
C000562_de_000	Bediener mobiler Anlagen
C000563_de_000	Führer von mobilen land- und forstwirtschaftlichen Maschinen
C000564_de_000	Führer von Erdbewegungs- und verwandten Maschinen
C000565_de_000	Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen
C000566_de_000	Gabelstaplerfahrer und verwandte Berufe
C000567_de_000	Deckspersonal auf Schiffen und verwandte Berufe
C000568_de_000	Deckspersonal auf Schiffen und verwandte Berufe
C000569_de_000	Hilfsarbeitskräfte
C000570_de_000	Reinigungspersonal und Hilfskräfte
C000571_de_000	Reinigungspersonal und Hilfskräfte in Privathaushalten, Hotels und Büros
C000572_de_000	Reinigungspersonal und Hilfskräfte in Privathaushalten
C000573_de_000	Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen
C000574_de_000	Reinigungspersonal für Fahrzeuge, Fenster, Wäsche und sonstige manuelle Reinigungsberufe
C000575_de_000	Handwäscher und Handbügler
C000576_de_000	Fahrzeugreiniger
C000577_de_000	Fensterputzer
C000578_de_000	Sonstiges Reinigungspersonal
C000579_de_000	Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei
C000580_de_000	Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei
C000581_de_000	Hilfsarbeiter im Ackerbau
C000582_de_000	Hilfsarbeiter in der Tierhaltung
C000583_de_000	Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)
C000584_de_000	Hilfsarbeiter im Gartenbau
C000585_de_000	Hilfsarbeiter in der Forstwirtschaft
C000586_de_000	Hilfsarbeiter in der Fischerei und Aquakultur
C000587_de_000	Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
C000588_de_000	Hilfsarbeiter im Bergbau und im Bau
C000589_de_000	Hilfsarbeiter im Bergbau und in der Gewinnung von Steinen und Erden
C000590_de_000	Hilfsarbeiter im Tiefbau
C000591_de_000	Hilfsarbeiter im Hochbau
C000592_de_000	Hilfsarbeiter bei der Herstellung von Waren
C000593_de_000	Verpacker
C000594_de_000	Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt
C000595_de_000	Hilfsarbeiter in Transport und Lagerei
C000596_de_000	Führer von Handwagen und pedalbetriebenen Fahrzeugen
C000597_de_000	Führer von Fahrzeugen und Maschinen mit Zugtierantrieb
C000598_de_000	Frachtarbeiter und verwandte Berufe
C000599_de_000	Regalbetreuer und -auffüller
C000600_de_000	Hilfskräfte in der Nahrungsmittelzubereitung
C000601_de_000	Hilfskräfte in der Nahrungsmittelzubereitung
C000602_de_000	Zubereiter von Fast Food und anderen Imbissen
C000603_de_000	Küchenhilfen
C000604_de_000	Straßenhändler und auf der Straße arbeitende Dienstleistungskräfte
C000605_de_000	Auf der Straße arbeitende Dienstleistungskräfte und verwandte Berufe
C000606_de_000	Auf der Straße arbeitende Dienstleistungskräfte und verwandte Berufe
C000607_de_000	Straßenverkäufer (ohne Lebensmittel)
C000608_de_000	Straßenverkäufer (ohne Lebensmittel)
C000609_de_000	Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte
C000610_de_000	Abfallentsorgungsarbeiter
C000611_de_000	Arbeiter in der Abfall- und Wertstoffsammlung
C000612_de_000	Arbeiter in der Abfallsortierung
C000613_de_000	Straßenkehrer und verwandte Berufe
C000614_de_000	Sonstige Hilfsarbeitskräfte
C000615_de_000	Boten, Paketauslieferer und Gepäckträger
C000616_de_000	Gelegenheitsarbeiter
C000617_de_000	Zählerableser, Automatenbefüller und -kassierer
C000618_de_000	Wasserträger und Brennholzsammler
C000619_de_000	Hilfsarbeitskräfte, anderweitig nicht genannt
C000620_de_000	Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen
C000620_de_001	Inspizient
C000620_de_002	Inspizientin
C000620_de_003	Technische Direktorin für Bühne, Film und Fernsehen
C000620_de_004	Technische Leiterin für Bühne, Film und Fernsehen
C000620_de_005	Technischer Direktor für Bühne, Film und Fernsehen
C000620_de_006	Technischer Leiter für Bühne, Film und Fernsehen
C000621_de_000	Metallziehmaschinenbediener/Metallziehmaschinenbedienerin
C000621_de_001	Blechziehmaschinenführer
C000621_de_002	Blechziehmaschinenführerin
C000621_de_003	Drahtzieher
C000621_de_004	Drahtzieherin
C000621_de_005	Drahtziehmaschinenbediener
C000621_de_006	Drahtziehmaschinenbedienerin
C000621_de_007	Formmaschinenbediener
C000621_de_008	Formmaschinenbedienerin
C000621_de_009	Formmaschineneinrichter
C000621_de_010	Formmaschineneinrichterin
C000621_de_011	Metalldrahtzieher
C000621_de_012	Metalldrahtzieherin
C000621_de_013	Metallrohrzieher
C000621_de_014	Metallrohrzieherin
C000621_de_015	Metallziehmaschinenbediener
C000621_de_016	Metallziehmaschinenbedienerin
C000621_de_017	Metallziehmaschineneinrichter
C000621_de_018	Metallziehmaschineneinrichterin
C000621_de_019	Rohrrichter
C000621_de_020	Rohrrichterin
C000621_de_021	Rohrzieher
C000621_de_022	Rohrzieherin
C000621_de_023	Ziehmaschinenbediener
C000621_de_024	Ziehmaschinenbedienerin
C000621_de_025	Ziehmaschineneinrichter
C000621_de_026	Ziehmaschineneinrichterin
C000622_de_000	Präzisionsinstrumentenprüfer/Präzisionsinstrumentenprüferin
C000622_de_001	Präzisionsinstrumentenprüfer
C000622_de_002	Präzisionsinstrumentenprüferin
C000623_de_000	Flugsicherungstechniker/Flugsicherungstechnikerin
C000623_de_001	Flugdiensttechniker
C000623_de_002	Flugdiensttechnikerin
C000623_de_003	Flugsicherungstechniker
C000623_de_004	Flugsicherungstechnikerin
C000624_de_000	Ertragsmanager/Ertragsmanagerin
C000624_de_001	Einnahmenverwalter
C000624_de_002	Einnahmenverwalterin
C000624_de_003	Ertragsmanager
C000624_de_004	Ertragsmanagerin
C000624_de_005	FinanzmanagerIn in der Hotelbranche
C000624_de_006	FinanzmanagerIn in der Hotellerie
C000624_de_007	Umsatzverwalter
C000624_de_008	Umsatzverwalterin
C000625_de_000	Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin
C000625_de_001	Medizinisch-technische Laborantin
C000625_de_002	Medizinisch-technische Laborassistentin
C000625_de_003	Medizinisch-technische Laboratoriumsassistentin
C000625_de_004	Medizinisch-technischer Laborant
C000625_de_005	Medizinisch-technischer Laborassistent
C000625_de_006	Medizinisch-technischer Laboratoriumsassistent
C000625_de_007	Medizintechniker Labor
C000625_de_008	Medizintechnikerin Labor
C000626_de_000	Asphaltlabortechniker/Asphaltlabortechnikerin
C000626_de_001	Asphaltlabortechniker
C000626_de_002	Asphaltlabortechnikerin
C000626_de_003	Laborant Asphalt
C000626_de_004	Laborantin Asphalt
C000626_de_005	Labortechniker Asphalt
C000626_de_006	Labortechnikerin Asphalt
C000627_de_000	Lehrassistent Grundschule/Lehrassistentin Grundschule
C000627_de_001	Lehrassistent Grundschule
C000627_de_002	Lehrassistentin Grundschule
C000627_de_003	Pädagogische Hilfskraft Grundschule
C000628_de_000	Physiotherapeut/Physiotherapeutin
C000628_de_001	Geriatrische Physiotherapeutin
C000628_de_002	Geriatrischer Physiotherapeut
C000628_de_003	Kinderphysiotherapeut
C000628_de_004	Kinderphysiotherapeutin
C000628_de_005	Orthopädische Physiotherapeutin
C000628_de_006	Orthopädischer Physiotherapeut
C000628_de_007	Physiotherapeut
C000628_de_008	Physiotherapeutin
C000629_de_000	Lehrkraft für Darstellende Kunst im Bereich Theater
C000629_de_001	DozentIn für Schauspiel
C000629_de_002	ProfessorIn für Theaterwissenschaft
C000629_de_003	Schauspiellehrer
C000629_de_004	Schauspiellehrerin
C000630_de_000	Hydriermaschinenbediener/Hydriermaschinenbedienerin
C000630_de_001	Hydrieranlagenbediener
C000630_de_002	Hydrieranlagenbedienerin
C000630_de_003	Hydriermaschinenbediener
C000630_de_004	Hydriermaschinenbedienerin
C000631_de_000	Nudelmaschinenbediener/Nudelmaschinenbedienerin
C000631_de_001	Nudelmaschinenbediener
C000631_de_002	Nudelmaschinenbedienerin
C000631_de_003	Nudelmaschinenfahrer
C000631_de_004	Nudelmaschinenfahrerin
C000631_de_005	Nudelmaschinenführer
C000631_de_006	Nudelmaschinenführerin
C000631_de_007	Pastamaschinenbediener
C000631_de_008	Pastamaschinenbedienerin
C000631_de_009	Teigwarenmaschinenbediener
C000631_de_010	Teigwarenmaschinenbedienerin
C000632_de_000	Leiter eines Tabakgeschäftes/Leiterin eines Tabakgeschäftes
C000632_de_001	Leiter einer Tabakwarenhandlung
C000632_de_002	Leiter eines Tabakgeschäftes
C000632_de_003	Leiter eines Tabakladens
C000632_de_004	Leiterin einer Tabakwarenhandlung
C000632_de_005	Leiterin eines Tabakgeschäftes
C000632_de_006	Leiterin eines Tabakladens
C000632_de_007	Trafikant
C000632_de_008	Trafikantin
C000633_de_000	Vermietassistent sonstige Maschinen, Ausrüstungen und Güter/Vermietassistentin sonstige Maschinen, Ausrüstungen und Güter
C000633_de_001	Vermietassistent sonstige Maschinen, Ausrüstungen und Güter
C000633_de_002	Vermietassistentin sonstige Maschinen, Ausrüstungen und Güter
C000634_de_000	Markscheider/Markscheiderin
C000634_de_001	Ingenieur für Markscheidewesen
C000634_de_002	Ingenieurin für Markscheidewesen
C000634_de_003	Markscheider
C000634_de_004	Markscheiderin
C000635_de_000	Fachkraft Lebensmittelsicherheit
C000635_de_001	Lebensmittelkontrolleur
C000635_de_002	Lebensmittelkontrolleurin
C000636_de_000	Servicetechniker für Landmaschinen/Servicetechnikerin für Landmaschinen
C000636_de_001	Landmaschinenmechatroniker
C000636_de_002	Landmaschinenmechatronikerin
C000636_de_003	Mechaniker Landmaschinentechnik
C000636_de_004	Mechanikerin Landmaschinentechnik
C000636_de_005	Servicetechniker für Landmaschinen
C000636_de_006	Servicetechnikerin für Landmaschinen
C000637_de_000	Omnibusfahrer/Omnibusfahrerin
C000637_de_001	Omnibusfahrer
C000637_de_002	Omnibusfahrerin
C000637_de_003	Omnisbusfahrerin
C000637_de_004	Reisebusfahrer
C000637_de_005	Reisebusfahrerin
C000637_de_006	Schulbusfahrer
C000637_de_007	Schulbusfahrerin
C000638_de_000	Import-/Exportmanager für Fleisch- und Fleischerzeugnisse/Import-/Exportmanagerin für Fleisch- und Fleischerzeugnisse
C000638_de_001	Import-/Exportmanager für Fleisch- und Fleischerzeugnisse
C000638_de_002	Import-/Exportmanagerin für Fleisch- und Fleischerzeugnisse
C000639_de_000	Referent für Wohnungsbaupolitik/Referentin für Wohnungsbaupolitik
C000639_de_001	Referent für Wohnungsbaupolitik
C000639_de_002	Referent/in für Wohnungsbau
C000639_de_003	ReferentIn für Wohnbaupolitik
C000639_de_004	Referentin für Wohnungsbaupolitik
C000639_de_005	Wohnbaureferent
C000639_de_006	Wohnbaureferent/in
C000639_de_007	Wohnbaureferentin
C000639_de_008	Wohnungsbaureferent
C000639_de_009	Wohnungsbaureferentin
C000640_de_000	Küchenleiter/ Küchenleiterin
C000640_de_001	Küchenchef
C000640_de_002	Küchenchefin
C000640_de_003	Küchenleiter
C000640_de_004	Küchenleiterin
C000641_de_000	Kunstfaserhersteller/Kunstfaserherstellerin
C000641_de_001	Bediener von Maschinen zur Herstellung von Kunstfaser
C000641_de_002	Bedienerin von Maschinen zur Herstellung von Kunstfaser
C000641_de_003	Kunstfaserhersteller
C000641_de_004	Kunstfaserherstellerin
C000642_de_000	Leiter einer höheren Lehranstalt/Leiterin einer höheren Lehranstalt
C000642_de_001	Leiter einer Hochschuleinrichtung
C000642_de_002	Leiter einer höheren Lehranstalt
C000642_de_003	Leiterin einer Hochschuleinrichtung
C000642_de_004	Leiterin einer höheren Lehranstalt
C000643_de_000	Polier Dämmarbeiten/Polierin Dämmarbeiten
C000643_de_001	Aufsichtskraft Dämmarbeiten
C000643_de_002	Polier Dämmarbeiten
C000643_de_003	Polierin Dämmarbeiten
C000644_de_000	Ingenieur Abbruch und Demontage/Ingenieurin Abbruch und Demontage
C000644_de_001	Ingenieur Abbruch und Demontage
