Q000001	Offizier im militärfachlichen Dienst
Q001726	Zweiter Regieassistent/Zweite Regieassistentin
Q001727	Regisseur/Regisseurin
Q001728	Souffleur/Souffleuse
Q001729	Programmberufe (Fernsehen/Rundfunk)
Q001730	Künstlervermittler/Künstlervermittlerin (nicht bei der Agentur für Arbeit)
Q001731	Casting-Direktor/Casting-Direktorin
Q001732	Produktionsleiter/Produktionsleiterin - Film und Fernsehen
Q001733	Leiter/Leiterin des Künstlerischen Betriebsbüros
Q001734	Intendant/Intendantin
Q001735	Künstlerischer Betriebsdirektor/Künstlerische Betriebsdirektorin
Q001736	Technischer Assistent/Technische Assistentin - Bühne/Film/Fernsehen
Q001737	Fachkraft für Veranstaltungstechnik (mit Schwerpunkten)
Q001738	Assistent/Assistentin für Veranstaltungstechnik
Q001739	Fachkraft für Veranstaltungstechnik
Q001740	Beleuchter/Beleuchterin
Q001741	Lichtplaner/Lichtplanerin
Q001742	Diplom-Ingenieur/Diplom-Ingenieurin (FH) Fachrichtung Theater- und Veranstaltungstechnik
Q001743	Ingenieur/Ingenieurin für Veranstaltungstechnik
Q001744	Kameramann/Kamerafrau
Q001745	Kamera-Operator/Kamera-Operatorin
Q001746	Audio-Engineer
Q001747	Tonassistent/Tonassistentin (Tontechnik)
Q001748	Film- und Videoeditor/Film- und Videoeditorin
Q001749	Pyrotechniker/Pyrotechnikerin
Q001750	Bühnenmeister/Bühnenmeisterin
Q001751	Technischer Leiter/Technische Leiterin - Bühne/Film/Fernsehen
Q001752	Beleuchtungsmeister/Beleuchtungsmeisterin
Q001753	Geprüfter Meister für Veranstaltungstechnik Fachrichtung Bühne/Studio / Geprüfte Meisterin für Veranstaltungstechnik Fachrichtung Bühne/Studio
Q001754	Geprüfter Meister für Veranstaltungstechnik Fachrichtung Beleuchtung/Geprüfte Meisterin für Veranstaltungstechnik Fachrichtung Beleuchtung
Q001755	Technischer Direktor/Technische Direktorin
Q001756	Leiter/Leiterin der Beleuchtung
Q001757	Bühnenmaler und Bühnenplastiker/Bühnenmalerin und Bühnenplastikerin Fachrichtung Malerei
Q001758	Bühnenbild-Assistent/Bühnenbild-Assistentin
Q001759	Bühnenmaler und Bühnenplastiker/Bühnenmalerin und Bühnenplastikerin Fachrichtung Plastik
Q001760	Set-Decorator
Q001761	Erster Bühnenmaler und Bühnenplastiker/Erste Bühnenmalerin und Bühnenplastikerin - Plastik
Q001762	Erster Bühnenmaler und Bühnenplastiker/Erste Bühnenmalerin und Bühnenplastikerin - Malerei
Q001763	Kostümbildner/Kostümbildnerin
Q001764	Bühnenbildner/Bühnenbildnerin
Q001765	Szenenbildner/Szenenbildnerin
Q001766	Filmarchitekt/Filmarchitektin
Q001767	Ausstatter/Ausstatterin
Q001768	Bühnenbildner/Bühnenbildnerin mit technischen Mitarbeitern
Q001769	Geprüfter Requisiteur/Geprüfte Requisiteurin
Q001770	Requisitenmeister/Requisitenmeisterin
Q001771	Registrar/Registrarin (Museum)
Q001772	Kurator/Kuratorin
Q001773	Museologe/Museologin
Q001774	Technischer Assistent/Technische Assistentin für naturkundliche Museen und Forschungsinstitute
Q001775	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Museums- und Ausstellungstechnik
Q001776	Konservator/Konservatorin
Q001777	Technikwissenschaftler/Technikwissenschaftlerin
Q001778	Gemmologe/Gemmologin
Q001779	Leiter/Leiterin eines Museums
