C000001_pt_000	Profissões militares
C000529_pt_000	Operadores de máquinas para preparar, fiar, torcer e bobinar fibras têxteis
C000530_pt_000	Operadores de máquinas, de tecer e tricotar
C000531_pt_000	Operadores de máquinas de costura
C000532_pt_000	Operadores de máquinas de branqueamento, tingimento e lavagem de tecidos
C000533_pt_000	Operadores de máquinas de preparação de peles com pêlo e couro
C000534_pt_000	Operadores de máquinas do fabrico de calçado e similares
C000535_pt_000	Operadores de máquinas de lavandaria
C000536_pt_000	Outros operadores de máquinas do fabrico de produtos têxteis, de peles com pêlo e couro
C000537_pt_000	Operadores de máquinas para fabricar alimentos e produtos similares
C000538_pt_000	Operadores de máquinas para fabricar alimentos e produtos similares
C000539_pt_000	Operadores de instalações para trabalhar madeiras e de fabrico de papel
C000540_pt_000	Operadores de instalações de fabrico de pasta de papel e de papel
C000541_pt_000	Operadores de instalações para trabalhar madeiras
C000542_pt_000	Outros operadores de instalações fixas e de máquinas
C000543_pt_000	Operadores de instalações de fabrico de vidro e cerâmica
C000544_pt_000	Operadores de máquinas a vapor e caldeiras
C000545_pt_000	Operadores de máquinas de embalar, engarrafar e rotular
C000546_pt_000	Outros operadores de instalações fixas e de máquinas, n.e.
C000547_pt_000	Trabalhadores da montagem
C000548_pt_000	Trabalhadores da montagem
C000549_pt_000	Montadores de maquinaria mecânica
C000550_pt_000	Montadores de equipamentos eléctricos e electrónicos
C000551_pt_000	Outros trabalhadores da montagem
C000552_pt_000	Condutores de veículos e operadores de equipamentos móveis
C000553_pt_000	Maquinistas de locomotivas e trabalhadores similares
C000554_pt_000	Maquinistas de locomotivas
C000555_pt_000	Guarda-freios, agulheiros e agentes de manobras de caminhos-de-ferro
C000556_pt_000	Condutores de automóveis ligeiros, carrinhas e motociclos
C000557_pt_000	Condutores de motociclos
C000558_pt_000	Condutores de automóveis ligeiros, táxis e carrinhas
C000559_pt_000	Motoristas de veículos pesados de mercadorias e de autocarros
C000560_pt_000	Motoristas de autocarros e guarda-freios de eléctricos
C000561_pt_000	Motoristas de veículos pesados de mercadorias
C000562_pt_000	Operadores de equipamentos móveis
C000563_pt_000	Operadores de máquinas agrícolas e florestais, móveis
C000564_pt_000	Operadores de máquinas de terraplenagem e similares
C000565_pt_000	Operadores de gruas, guindastes e similares
C000566_pt_000	Operadores de empilhadores
C000567_pt_000	Tripulação de convés de navio e similares
C000568_pt_000	Tripulação de convés de navios e similares
C000569_pt_000	Trabalhadores não qualificados/Profissões elementares
C000570_pt_000	Pessoal de limpeza e auxiliares
C000571_pt_000	Pessoal de limpeza e auxiliar, em casas particulares, hotéis e escritórios
C000572_pt_000	Pessoal de limpeza e auxiliar, em casas particulares
C000573_pt_000	Pessoal de limpeza e auxiliar, em escritórios, hotéis e outros estabelecimentos
C000574_pt_000	Pessoal de limpeza de veículos, janelas e roupa e outra limpeza manual
C000575_pt_000	Lavadeiros e engomadores de roupa
C000576_pt_000	Pessoal de limpeza de veículos
C000577_pt_000	Pessoal de limpeza de janelas
C000578_pt_000	Outro pessoal de limpeza manual
C000579_pt_000	Trabalhadores não qualificados da agricultura, da silvicultura e da pesca
C000580_pt_000	Trabalhadores não qualificados da agricultura, da silvicultura e da pesca
C000581_pt_000	Trabalhadores não qualificados de culturas agrícolas
C000582_pt_000	Trabalhadores não qualificados da produção animal
C000583_pt_000	Trabalhadores não qualificados de explorações com agricultura e produção animal combinadas
C000584_pt_000	Trabalhadores não qualificados de jardinagem e horticultura
C000585_pt_000	Trabalhadores não qualificados da floresta
C000586_pt_000	Trabalhadores não qualificados da aquicultura e da pesca
C000587_pt_000	Trabalhadores não qualificados da indústria extractiva, da construção, da indústria transformadora e dos transportes
C000588_pt_000	Trabalhadores não qualificados das indústrias extractivas e da construção
C000589_pt_000	Trabalhadores não qualificados das indústrias extractivas
C000590_pt_000	Trabalhadores não qualificados de obras públicas
C000591_pt_000	Trabalhadores não qualificados da construção de edifícios
C000592_pt_000	Trabalhadores não qualificados da indústria transformadora
C000593_pt_000	Embaladores manuais da indústria transformadora
C000594_pt_000	Outros trabalhadores não qualificados da indústria transformadora
C000595_pt_000	Trabalhadores não qualificados de transporte e armazenagem
C000596_pt_000	Condutores de veículos accionados à mão ou a pedal
C000597_pt_000	Condutores de veículos e máquinas de tracção animal
C000598_pt_000	Carregadores e descarregadores de mercadorias
C000599_pt_000	Repositores de produtos
C000600_pt_000	Assistentes de preparação de alimentos
C000601_pt_000	Assistentes de preparação de alimentos
C000602_pt_000	Preparadores de refeições rápidas
C000603_pt_000	Ajudantes de cozinha
C000604_pt_000	Vendedores ambulantes e prestadores de serviços na rua
C000605_pt_000	Prestadores de serviços na rua
C000606_pt_000	Prestadores de serviços na rua
C000607_pt_000	Vendedores ambulantes (excluindo de produtos comestíveis)
C000608_pt_000	Vendedores ambulantes (excluindo de produtos comestíveis)
C000609_pt_000	Trabalhadores dos resíduos e outros trabalhadores não qualificados
C000610_pt_000	Trabalhadores dos resíduos
C000611_pt_000	Trabalhadores de recolha de resíduos
C000612_pt_000	Trabalhadores da triagem de resíduos
C000613_pt_000	Varredores e trabalhadores similares
C000614_pt_000	Outros trabalhadores não qualificados
C000615_pt_000	Estafetas, distribuidores de encomendas e bagageiros
C000616_pt_000	Trabalhadores não qualificados polivalentes
C000617_pt_000	Leitores de contadores e colectores de dinheiro em máquinas de venda automática
C000618_pt_000	Carregador de água e apanhador de lenha
C000619_pt_000	Outros trabalhadores não qualificados, n.e.
C000620_pt_000	Diretor técnico/Diretora técnica
C000620_pt_001	Director técnico
C000620_pt_002	Directora técnica
C000620_pt_003	Diretor técnico
C000620_pt_004	Diretora técnica
C000621_pt_000	Operador de máquinas de trefilagem/ Operadora de máquinas de trefilagem
C000621_pt_001	Operador de máquinas de trefilagem
C000621_pt_002	Operadora de máquinas de trefilagem
C000622_pt_000	Inspetor de instrumentos de precisão/Inspetora de instrumentos de precisão
C000622_pt_001	Inspetor de instrumentos de precisão
C000622_pt_002	Inspetora de instrumentos de precisão
C000623_pt_000	Técnico de segurança do tráfego aéreo/Técnica de segurança do tráfego aéreo
C000623_pt_001	Técnica de segurança do tráfego aéreo
C000623_pt_002	Técnico de segurança do tráfego aéreo
C000624_pt_000	Gestor de receitas hoteleiras/Gestora de receitas hoteleiras
C000624_pt_001	Gestor de receitas
C000624_pt_002	Gestor de receitas hoteleiras
C000624_pt_003	Gestora de receitas
C000624_pt_004	Gestora de receitas hoteleiras
C000625_pt_000	Assistente de laboratório de análises clínicas
C000626_pt_000	Técnico de laboratório de asfalto/Técnica de laboratório de asfalto
C000626_pt_001	Operador de laboratório
C000626_pt_002	Operadora de laboratório
C000626_pt_003	Técnica de laboratório de asfalto
C000626_pt_004	Técnico de laboratório de asfalto
C000627_pt_000	Auxiliar de educação no ensino básico
C000627_pt_001	Auxiliar de ação educativa
C000627_pt_002	Técnica de ação educativa
C000627_pt_003	Técnico de ação educativa
C000628_pt_000	Fisioterapeuta
C000628_pt_001	Hidroterapeuta
C000628_pt_002	Quiroprática
C000628_pt_003	Quiroprático
C000628_pt_004	Terapeuta da fala
C000628_pt_005	Terapeuta desportiva
C000628_pt_006	Terapeuta desportivo
C000628_pt_007	Terapeuta massagista
C000628_pt_008	Terapeuta ocupacional
C000628_pt_009	Terapeuta psicomotor
C000628_pt_010	Terapeuta psicomotora
C000628_pt_011	Terapeuta respiratória
C000628_pt_012	Terapeuta respiratório
C000629_pt_000	Professor de Escola Superior de Teatro/Professora de Escola Superior de Teatro
C000629_pt_001	Professor da Escola de Teatro do Conservatório
C000629_pt_002	Professor de Escola Superior de Teatro
C000629_pt_003	Professor de Teatro
C000629_pt_004	Professora da Escola de Teatro do Conservatório
C000629_pt_005	Professora de Escola Superior de Teatro
C000629_pt_006	Professora de Teatro
C000630_pt_000	Operador de máquina de hidrogenação/Operadora de máquina de hidrogenação
C000630_pt_001	Operador de hidrogenação
C000630_pt_002	Operador de máquina de hidrogenação
C000630_pt_003	Operadora de hidrogenação
C000630_pt_004	Operadora de máquina de hidrogenação
C000631_pt_000	Técnico de produção de massas alimentícias/Técnica de produção de massas alimentícias
C000631_pt_001	Operador de máquina de fabrico de massas alimentícias
C000631_pt_002	Operadora de máquina de fabrico de massas alimentícias
C000631_pt_003	Técnica de produção de massas alimentícias
C000631_pt_004	Técnico de produção de massas alimentícias
C000632_pt_000	Gerente de tabacaria
C000632_pt_001	Gerente de loja de charutos
C000632_pt_002	Gerente de loja de cigarros eletrónicos
C000633_pt_000	Representante de serviço de aluguer de outras máquinas e equipamentos
C000634_pt_000	Topógrafo de minas/Topógrafa de minas
C000634_pt_001	Topógrafa de minas
C000634_pt_002	Topógrafo de minas
C000635_pt_000	Especialista em segurança alimentar
C000636_pt_000	Técnico de maquinaria terrestre/Técnica de maquinaria terrestre
C000636_pt_001	Especialista na manutenção de maquinaria agrícola
C000636_pt_002	Técnica de maquinaria terrestre
C000636_pt_003	Técnica especialista na manutenção de máquinas agrícolas
C000636_pt_004	Técnico de maquinaria terrestre
C000636_pt_005	Técnico especialista na manutenção de máquinas agrícolas
C000637_pt_000	Motorista de autocarros
C000638_pt_000	Diretor de importação e exportação de carne e produtos à base de carne/Diretora de importação e exportação de carne e produtos à base de carne
C000638_pt_001	Diretor de importação e exportação de carne e produtos à base de carne
C000638_pt_002	Diretor de vendas de carne e produtos à base de carne
C000638_pt_003	Diretora de importação e exportação de carne e produtos à base de carne
C000638_pt_004	Diretora de vendas de carne e produtos à base de carne
C000639_pt_000	Especialista em política de habitação
C000640_pt_000	Chef principal
C000640_pt_001	Chef de cozinha
C000640_pt_002	Master chef
C000641_pt_000	Operador de máquinas de filamentos têxteis/ Operadora de máquinas de filamentos têxteis
C000641_pt_001	Operador de máquinas de filamentos de não tecidos
C000641_pt_002	Operador de máquinas de filamentos têxteis
C000641_pt_003	Operadora de máquinas de filamentos de não tecidos
C000641_pt_004	Operadora de máquinas de filamentos têxteis
C000642_pt_000	Diretor de instituição do ensino superior/Diretora de instituição do ensino superior
C000642_pt_001	Diretor de instituição do ensino superior
C000642_pt_002	Diretora de instituição do ensino superior
C000643_pt_000	Supervisor de instalação de material isolante/Supervisora de instalação de material isolante
C000643_pt_001	Supervisor de instalação de material isolante
C000643_pt_002	Supervisora de instalação de material isolante
C000644_pt_000	Engenheiro especialista em operações de desmantelamento/Engenheira especialista em operações de desmantelamento
C000644_pt_001	Engenheira especialista em operações de desmantelamento
C000644_pt_002	Engenheiro especialista em operações de desmantelamento
C000645_pt_000	Gestor de indemnizações de seguro/Gestora de indemnizações de seguro
C000645_pt_001	Gestor de indemnizações de seguro
C000645_pt_002	Gestora de indemnizações de seguro
C000646_pt_000	Diretor de desenvolvimento de vestuário/Diretora de desenvolvimento de vestuário
C000646_pt_001	Diretor de atelier
C000646_pt_002	Diretor de desenvolvimento de produtos
C000646_pt_003	Diretor de desenvolvimento de vestuário
C000646_pt_004	Diretora de atelier
C000646_pt_005	Diretora de desenvolvimento de produtos
C000646_pt_006	Diretora de desenvolvimento de vestuário
C000647_pt_000	Operador de separação de nitroglicerina/ Operadora de separação de nitroglicerina
C000647_pt_001	Operador de separação de nitroglicerina
C000647_pt_002	Operadora de separação de nitroglicerina
C000648_pt_000	Engenheiro biomédico/Engenheira biomédica
C000648_pt_001	Engenheira biomédica
C000648_pt_002	Engenheiro biomédico
C000649_pt_000	Tutor legal/Tutora legal
C000649_pt_001	Tutor legal
C000649_pt_002	Tutora legal
C000650_pt_000	Tecelão/Tecelã
C000650_pt_001	Tecelã
C000650_pt_002	Tecelão
C000651_pt_000	Assentador de azulejo e tijoleira/Assentadora de azulejo e tijoleira
C000651_pt_001	Assentador de azulejo e tijoleira
C000651_pt_002	Assentadora de azulejo e tijoleira
C000652_pt_000	Gerente de marroquinaria
C000652_pt_001	Correeira
C000652_pt_002	Correeiro
C000652_pt_003	Gerente de loja de artigos de cabedal
