C000001_sk_000	Príslušníci ozbrojených síl
C000486_sk_000	Spracovatelia a výrobcovia potravinárskych výrobkov, výrobkov z dreva a odevov
C000487_sk_000	Spracovatelia a výrobcovia potravinárskych výrobkov a podobní pracovníci
C000488_sk_000	Spracovatelia mäsa a rýb a podobní výrobcovia
C000489_sk_000	Výrobcovia pekárskych a cukrárskych výrobkov
C000490_sk_000	Výrobcovia výrobkov z mlieka
C000491_sk_000	Konzervári ovocia, zeleniny a podobných produktov
C000492_sk_000	Degustátori a kvalitári potravín a nápojov
C000493_sk_000	Spracovatelia tabaku a výrobcovia tabakových výrobkov
C000494_sk_000	Spracovatelia dreva, výrobcovia výrobkov z dreva a podobní výrobcovia
C000495_sk_000	Spracovatelia dreva
C000496_sk_000	Stolári – výrobcovia výrobkov z dreva
C000497_sk_000	Nastavovači a operátori drevoobrábacích strojov
C000498_sk_000	Výrobcovia odevov a podobní pracovníci
C000499_sk_000	Pánski a dámski krajčíri, kožušníci a klobučníci
C000500_sk_000	Modelári a strihači odevov
C000501_sk_000	Šičky, vyšívačky a podobní pracovníci
C000502_sk_000	Čalúnnici a podobní pracovníci
C000503_sk_000	Spracovatelia kože a kožušín, garbiari a kožušníci
C000504_sk_000	Obuvníci a podobní pracovníci
C000505_sk_000	Ostatní kvalifikovaní robotníci
C000506_sk_000	Pracovní potápači
C000507_sk_000	Strelmajstri
C000508_sk_000	Kvalitári a kontrolóri výrobkov (okrem potravín a nápojov)
C000509_sk_000	Dezinfikátori a iní likvidátori škodcov a buriny
C000510_sk_000	Kvalifikovaní robotníci inde neuvedení
C000511_sk_000	Operátori a montéri strojov a zariadení
C000512_sk_000	Operátori stacionárnych strojov a zariadení
C000513_sk_000	Operátori banských zariadení a zariadení na spracovanie nerastných surovín
C000514_sk_000	Baníci a lamači
C000515_sk_000	Operátori zariadení na spracovanie nerastov a kameňov
C000516_sk_000	Studniari, vŕtači a podobní pracovníci
C000517_sk_000	Operátori strojov na výrobu cementu, spracovanie kameňa a nerastných surovín
C000518_sk_000	Operátori zariadení na spracovanie a konečnú úpravu kovov
C000519_sk_000	Operátori zariadení na spracovanie kovov
C000520_sk_000	Operátori zariadení na konečnú úpravu, pokovovanie a povrchovú úpravu kovov
C000521_sk_000	Operátori zariadení na výrobu chemických a fotografických výrobkov
C000522_sk_000	Operátori zariadení na výrobu chemických výrobkov
C000523_sk_000	Operátori zariadení na výrobu fotografických výrobkov
C000524_sk_000	Operátori strojov na výrobu výrobkov z gumy, papiera a plastov
C000525_sk_000	Operátori strojov na výrobu výrobkov z gumy
C000526_sk_000	Operátori strojov na výrobu výrobkov z plastov
C000527_sk_000	Operátori strojov na výrobu výrobkov z papiera
C000528_sk_000	Operátori strojov na výrobu výrobkov z textilu, kože a kožušiny
C000529_sk_000	Operátori strojov na výrobu vlákien a pradiarenských výrobkov
C000530_sk_000	Operátori tkacích a pletacích strojov
C000531_sk_000	Operátori šijacích strojov
C000532_sk_000	Operátori zariadení na bielenie, farbenie a čistenie textilu
C000533_sk_000	Operátori zariadení na úpravu kožušín a kože
C000534_sk_000	Operátori strojov na výrobu obuvi
C000535_sk_000	Operátori zariadení na pranie a čistenie
C000536_sk_000	Operátori strojov na výrobu výrobkov z textilu, kože a kožušiny inde neuvedení
C000537_sk_000	Operátori zariadení na výrobu potravín a podobných výrobkov
C000538_sk_000	Operátori zariadení na výrobu potravín a podobných výrobkov
C000539_sk_000	Operátori zariadení na spracovanie dreva a výrobu papiera
C000540_sk_000	Operátori zariadení na výrobu celulózy a papiera
C000541_sk_000	Operátori zariadení na spracovanie dreva
C000542_sk_000	Operátori ostatných stacionárnych zariadení a strojov
C000543_sk_000	Operátori zariadení na výrobu skla a keramiky
C000544_sk_000	Operátori parných strojov a kotlov
C000545_sk_000	Operátori zariadení na balenie, fľaškovanie a etiketovanie
C000546_sk_000	Operátori ostatných stacionárnych zariadení a strojov inde neuvedení
C000547_sk_000	Montážni robotníci
C000548_sk_000	Montážni robotníci
C000549_sk_000	Montážni robotníci mechanických zariadení
C000550_sk_000	Montážni robotníci elektrických a elektronických zariadení
C000551_sk_000	Montážni robotníci inde neuvedení
C000552_sk_000	Vodiči a obsluha pojazdných strojných zariadení
C000553_sk_000	Vodiči železničných a podobných vozidiel
C000554_sk_000	Rušňovodiči
C000555_sk_000	Posunovači, signalisti, výhybkári
C000556_sk_000	Vodiči osobných motorových vozidiel, dodávok a motocyklov
C000557_sk_000	Vodiči motocyklov
C000558_sk_000	Vodiči osobných motorových vozidiel, dodávok a taxíkov
C000559_sk_000	Vodiči nákladných automobilov a autobusov
C000560_sk_000	Vodiči autobusov, trolejbusov a električiek
C000561_sk_000	Vodiči nákladných automobilov a kamiónov
C000562_sk_000	Operátori pojazdných strojových zariadení
C000563_sk_000	Operátori poľnohospodárskych a lesníckych pojazdných zariadení
C000564_sk_000	Operátori pojazdných zariadení na zemné a podobné práce
C000565_sk_000	Operátori žeriavov, zdvíhacích a podobných zariadení
C000566_sk_000	Operátori vysokozdvižných vozíkov
C000567_sk_000	Posádky lodí a podobní pracovníci
C000568_sk_000	Posádky lodí a podobní pracovníci
C000569_sk_000	Pomocní a nekvalifikovaní pracovníci
C000570_sk_000	Upratovači a pomocníci
C000571_sk_000	Upratovači a pomocníci v domácnostiach, hoteloch a úradoch
C000572_sk_000	Upratovači a pomocníci v domácnostiach
C000573_sk_000	Upratovači a pomocníci v úradoch, hoteloch a podobných zariadeniach
C000574_sk_000	Ruční umývači motorových vozidiel, okien a ruční práči
C000575_sk_000	Ruční práči a žehliči
C000576_sk_000	Umývači motorových vozidiel
C000577_sk_000	Umývači okien
C000578_sk_000	Ostatní umývači
C000579_sk_000	Pomocní pracovníci v poľnohospodárstve, lesníctve a rybárstve
C000580_sk_000	Pomocní pracovníci v poľnohospodárstve, lesníctve a rybárstve
C000581_sk_000	Pomocní pracovníci v rastlinnej výrobe
C000582_sk_000	Pomocní pracovníci v živočíšnej výrobe
C000583_sk_000	Pomocní pracovníci v zmiešanej rastlinnej a živočíšnej výrobe
C000584_sk_000	Pomocní pracovníci v sadovníctve a záhradníctve
C000585_sk_000	Pomocní pracovníci v lesníctve
C000586_sk_000	Pomocní pracovníci v rybárstve a akvakultúre
C000587_sk_000	Pomocní pracovníci v ťažbe, stavebníctve, výrobe a doprave
C000588_sk_000	Pomocní pracovníci v ťažbe a stavebníctve
C000589_sk_000	Pomocní pracovníci v ťažbe a dobývaní nerastných surovín
C000590_sk_000	Pomocní pracovníci v stavebníctve (okrem budov)
C000591_sk_000	Pomocní pracovníci na stavbách budov
C000592_sk_000	Pomocní pracovníci vo výrobe
C000593_sk_000	Ruční baliči
C000594_sk_000	Pomocní pracovníci vo výrobe inde neuvedení
C000595_sk_000	Pomocní pracovníci v doprave a skladovaní
C000596_sk_000	Vodiči vozidiel na ručný alebo nožný pohon
C000597_sk_000	Vodiči povozov a zariadení poháňaných zvieratami
C000598_sk_000	Manipulační robotníci, nosiči
C000599_sk_000	Dokladači tovaru
C000600_sk_000	Pomocní pracovníci pri príprave jedla
C000601_sk_000	Pomocní pracovníci pri príprave jedla
C000602_sk_000	Pomocní pracovníci pri príprave rýchleho občerstvenia
C000603_sk_000	Pomocníci v kuchyni
C000604_sk_000	Pouliční predavači a pomocní pracovníci v podobných službách
C000605_sk_000	Pomocní pracovníci v pouličných službách
C000606_sk_000	Pomocní pracovníci v pouličných službách
C000607_sk_000	Pouliční predavači (okrem jedla)
C000608_sk_000	Pouliční predavači (okrem jedla)
C000609_sk_000	Pracovníci pri likvidácii odpadu a ostatní nekvalifikovaní pracovníci
C000610_sk_000	Pracovníci pri likvidácii odpadu
C000611_sk_000	Zberači odpadu a druhotných surovín
C000612_sk_000	Triediči odpadov
C000613_sk_000	Zametači a príbuzní pomocníci
C000614_sk_000	Ostatní pomocní pracovníci
C000615_sk_000	Kuriéri, doručovatelia balíkov a nosiči batožín
C000616_sk_000	Pracovníci príležitostných prác
C000617_sk_000	Odčítavači údajov z meracích prístrojov a vyberači predajných automatov
C000618_sk_000	Zberači vody a palivového dreva
C000619_sk_000	Ostatní pomocní pracovníci inde neuvedení
C000620_sk_000	technický riaditeľ/technická riaditeľka
C000620_sk_001	technická riaditeľka
C000620_sk_002	technický riaditeľ
C000621_sk_000	operátor/operátorka stroja na ťahanie kovov
C000621_sk_001	operátor stolice na ťahanie drôtu
C000621_sk_002	operátor stroja na ťahanie kovov
C000621_sk_003	operátor stroja na ťahanie kovových drôtov
C000621_sk_004	operátor ťahacej stolice
C000621_sk_005	operátor ťažnej stolice
C000621_sk_006	operátorka stroja na ťahanie kovov
C000621_sk_007	ťahač drôtov
C000621_sk_008	ťahač drôtu
C000621_sk_009	ťahač rúr
C000621_sk_010	ťahač tyčí
C000622_sk_000	kontrolór/kontrolórka kvality presných zariadení
C000622_sk_001	kontrolór kvality presných zariadení
C000622_sk_002	kontrolórka kvality presných zariadení
C000623_sk_000	bezpečnostný letecký technik/bezpečnostná letecká technička
C000623_sk_001	bezpečnostná letecká technička
C000623_sk_002	bezpečnostný letecký technik
C000624_sk_000	správca/správkyňa príjmov z reštauračných a hotelových služieb
C000624_sk_001	manažér príjmov z reštauračných a hotelových služieb
C000624_sk_002	manažérka príjmov z reštauračných a hotelových služieb
C000624_sk_003	menežér príjmov z gastronómie a hotelierstva
C000624_sk_004	menežérka príjmov z gastronómie a hotelierstva
C000624_sk_005	riaditeľ príjmov z cestovného ruchu
C000624_sk_006	riaditeľ príjmov z reštauračných a hotelových služieb
C000624_sk_007	riaditeľka príjmov z cestového ruchu
C000624_sk_008	riaditeľka príjmov z reštauračných a hotelových služieb
C000624_sk_009	správca príjmov z turizmu
C000624_sk_010	správkyňa príjmov z turizmu
C000625_sk_000	zdravotnícky laborant/zdravotnícka laborantka
C000625_sk_001	zdravotnícka laborantka
C000625_sk_002	zdravotnícky laborant
C000626_sk_000	laboratórny technik/laboratórna technička v oblasti asfaltu
C000626_sk_001	laboratórna technička v oblasti asfaltu
C000626_sk_002	laboratórny technik v oblasti asfaltu
C000627_sk_000	asistent/asistentka učiteľa na základnej škole
C000627_sk_001	asistent pedagóga na základnej škole
C000627_sk_002	asistent učiteľa na základnej škole
C000627_sk_003	asistentka pedagóga na základnej škole
C000627_sk_004	asistentka učiteľa na základnej škole
C000628_sk_000	fyzioterapeut/fyzioterapeutka
C000628_sk_001	fyzioterapeut
C000628_sk_002	fyzioterapeutka
C000629_sk_000	divadelný inštruktor/divadelná inštruktorka na vysokej škole múzických umení
C000629_sk_001	divadelná inštruktorka na vysokej škole múzických umení
C000629_sk_002	divadelný inštruktor na vysokej škole múzických umení
C000630_sk_000	obslužný pracovník/obslužná pracovníčka stroja na hydrogenáciu
C000630_sk_001	obsluha hydrogenačného zariadenia
C000630_sk_002	obsluha stroja na hydrogenáciu
C000630_sk_003	obslužná pracovníčka stroja na hydrogenáciu
C000630_sk_004	obslužný pracovník stroja na hydrogenáciu
C000631_sk_000	pracovník/pracovníčka výroby cestovín
C000631_sk_001	cestovinár
C000631_sk_002	cestovinárka
C000631_sk_003	obsluha prístroja na výrobu cestovín
C000631_sk_004	obslužná pracovníčka prístroja na výrobu cestovín
C000631_sk_005	obslužný pracovník prístroja na výrobu cestovín
C000631_sk_006	pracovník výroby cestovín
C000631_sk_007	pracovníčka výroby cestovín
C000632_sk_000	vedúci/vedúca predajne tabaku a tabakových výrobkov
C000632_sk_001	vedúca predajne tabaku a tabakových výrobkov
C000632_sk_002	vedúca trafiky
C000632_sk_003	vedúci predajne tabaku a tabakových výrobkov
C000632_sk_004	vedúci trafiky
C000633_sk_000	pracovník/pracovníčka požičovne strojov, zariadení a výrobkov
C000633_sk_001	pracovník požičovne strojov, zariadení a výrobkov
C000633_sk_002	pracovníčka požičovne strojov, zariadení a výrobkov
C000634_sk_000	banský geometer/banská geometrička
C000634_sk_001	banská geometrička
C000634_sk_002	banský geometer
C000635_sk_000	špecialista/špecialistka na hygienu potravín
C000635_sk_001	špecialista na hygienu potravín
C000635_sk_002	špecialistka na hygienu potravín
C000636_sk_000	servisný technik/servisná technička poľnohospodárskych strojov
C000636_sk_001	mechanik poľnohospodárskych strojov a zariadení
C000636_sk_002	mechanizátor
C000636_sk_003	mechanizátorka
C000636_sk_004	mechanička poľnohospodárskych strojov a zariadení
C000636_sk_005	opravár poľnohospodárskych strojov
C000636_sk_006	opravárka poľnohospodárskych strojov
C000636_sk_007	servisná technička poľnohospodárskych strojov
C000636_sk_008	servisný technik poľnohospodárskych strojov
C000637_sk_000	vodič/vodička autobusu
C000637_sk_001	vodič autobusu
C000637_sk_002	vodička autobusu
C000638_sk_000	manažér/manažérka dovozu a vývozu mäsa a mäsových výrobkov
C000638_sk_001	manažér dovozu a vývozu mäsa a mäsových výrobkov
C000638_sk_002	manažérka dovozu a vývozu mäsa a mäsových výrobkov
C000639_sk_000	odborný referent/odborná referentka pre bývanie
C000639_sk_001	odborná referentka pre bývanie
C000639_sk_002	odborný referent pre bývanie
C000640_sk_000	vedúci šéfkuchár/ vedúca šéfkuchárka
C000640_sk_001	hlavná kuchárka
C000640_sk_002	hlavný kuchár
C000640_sk_003	majster šéfkuchár
C000640_sk_004	majsterka šéfkuchárka
C000640_sk_005	vedúca kuchyne
C000640_sk_006	vedúca kuchárka
C000640_sk_007	vedúca šéfkuchárka
C000640_sk_008	vedúci kuchyne
C000640_sk_009	vedúci kuchár
C000640_sk_010	vedúci šéfkuchár
C000641_sk_000	operátor/operátorka stroja na výrobu netkaných vlákien
C000641_sk_001	operátor stroja na výrobu netkaných vlákien
C000641_sk_002	operátorka stroja na výrobu netkaných vlákien
C000642_sk_000	riaditeľ/riaditeľka inštitúcie vysokoškolského vzdelávania
C000642_sk_001	rektor vysokej školy
C000642_sk_002	rektorka vysokej školy
C000642_sk_003	riaditeľ inštitúcie vysokoškolského vzdelávania
C000642_sk_004	riaditeľka inštitúcie vysokoškolského vzdelávania
C000643_sk_000	supervízor/supervízorka izolačných prác
C000643_sk_001	supervízor izolačných prác
C000643_sk_002	supervízorka izolačných prác
C000644_sk_000	špecialista/špecialistka na demontáž
C000644_sk_001	špecialista na demontáž
C000644_sk_002	špecialistka na demontáž
C000645_sk_000	likvidátor/likvidátorka poistných udalostí
C000645_sk_001	likvidátor poistných udalostí
C000645_sk_002	likvidátorka poistných udalostí
C000646_sk_000	manažér/manažérka vývoja v odevnom priemysle
C000646_sk_001	manažér vývoja v odevnom priemysle
C000646_sk_002	manažérka vývoja produktov v odevnom priemysle
C000647_sk_000	operátor/operátorka gravitačného separátora
C000647_sk_001	operátor gravitačného separátora
C000647_sk_002	operátorka gravitačného separátora
C000648_sk_000	biomedicínsky inžinier/biomedicínska inžinierka
C000648_sk_001	biomedicínska inžinierka
C000648_sk_002	biomedicínsky inžinier
C000649_sk_000	zákonný zástupca/zákonná zástupkyňa
C000649_sk_001	sociálna kurátorka
C000649_sk_002	sociálny kurátor
C000649_sk_003	zákonná zástupkyňa
C000649_sk_004	zákonný zástupca
C000650_sk_000	tkáč/tkáčka
C000650_sk_001	tkáč
C000650_sk_002	tkáčka
C000651_sk_000	obkladač/obkladačka
C000651_sk_001	obkladač
C000651_sk_002	obkladačka
C000652_sk_000	vedúci/vedúca predajne obuvi a koženej galantérie
C000652_sk_001	vedúca predajne obuvi a koženej galantérie
C000652_sk_002	vedúci predajne obuvi a koženej galantérie
C000653_sk_000	riaditeľ/riaditeľka cestovných agentov
C000653_sk_001	manažér pracovníkov cestovnej kancelárie
C000653_sk_002	manažér prevádzkovateľov ciest
C000653_sk_003	manažérka pracovníkov cestovnej kancelárie
